TAZ,PUMA,REGION
4398,2504902,1
2571,2504901,1
2669,2504902,1
4392,2504902,1
2641,2504903,1
2643,2504903,1
2666,2504903,1
2665,2504903,1
2675,2504903,1
1961,2500703,1
2569,2504901,1
2670,2504902,1
2674,2504902,1
2542,2504901,1
1807,2503900,1
2672,2504902,1
2673,2504902,1
2684,2504903,1
4406,2504902,1
4313,2504500,1
4407,2504902,1
1829,2503900,1
4314,2504500,1
4408,2504902,1
2668,2504902,1
1900,2504902,1
2654,2504902,1
2655,2504902,1
1794,2503900,1
4324,2504500,1
2682,2504903,1
2683,2504903,1
2680,2504903,1
2677,2504903,1
1833,2503900,1
2707,2504903,1
2649,2504902,1
1830,2503900,1
4295,2504500,1
2671,2504902,1
2653,2504902,1
2656,2504902,1
2660,2504903,1
4158,2504302,1
207942,4400300,1
4248,2504301,1
2661,2504903,1
2681,2504903,1
2679,2504903,1
4145,2504302,1
2678,2504903,1
1083,2503603,1
1735,2504000,1
2705,2504903,1
2650,2504902,1
2652,2504902,1
2657,2504902,1
2658,2504902,1
268,2503301,1
2638,2504903,1
4149,2504302,1
2642,2504903,1
2663,2504903,1
208396,4400103,1
2662,2504903,1
2664,2504903,1
208398,4400103,1
2676,2504903,1
1822,2503900,1
2651,2504902,1
1897,2504902,1
1898,2504902,1
1909,2504902,1
1127,2503603,1
2659,2504902,1
2636,2504903,1
2639,2504903,1
1896,2504902,1
1895,2504902,1
1899,2504902,1
1872,2503900,1
1911,2504903,1
1914,2504903,1
1907,2504902,1
1915,2504903,1
2637,2504903,1
2644,2504903,1
2645,2504903,1
2667,2504903,1
1893,2504902,1
1894,2504902,1
1908,2504902,1
1912,2504903,1
1916,2504903,1
2640,2504903,1
1883,2504901,1
1866,2503900,1
1890,2504901,1
1892,2504901,1
1901,2504902,1
1906,2504902,1
1125,2503603,1
4109,2504200,1
1889,2504901,1
1891,2504901,1
1806,2503900,1
1864,2503900,1
1905,2504902,1
1868,2503900,1
208347,4400102,1
1860,2503900,1
1859,2503900,1
1869,2503900,1
1870,2503900,1
1910,2504903,1
1834,2503900,1
1832,2503900,1
1862,2503900,1
1902,2504902,1
1090,2503603,1
94,2503302,1
1904,2504902,1
1863,2503900,1
1847,2503900,1
1702,2503602,1
1861,2503900,1
1112,2503603,1
3030,2500304,1
1858,2503900,1
1088,2503603,1
1844,2503900,1
1838,2503900,1
1837,2503900,1
1831,2503900,1
1118,2503603,1
1828,2503900,1
1823,2503900,1
1856,2503900,1
1853,2503900,1
1846,2503900,1
1840,2503900,1
208324,4400102,1
1845,2503900,1
1843,2503900,1
208423,4400104,1
1836,2503900,1
1835,2503900,1
1120,2503603,1
1116,2503603,1
1826,2503900,1
1827,2503900,1
1819,2503900,1
1688,2503602,1
1820,2503900,1
1854,2503900,1
1091,2503603,1
1873,2504901,1
1731,2503602,1
1805,2503900,1
1839,2503900,1
1842,2503900,1
1115,2503603,1
4262,2504500,1
1809,2503900,1
1804,2503900,1
2089,2500502,1
1818,2503900,1
1798,2503900,1
4270,2504500,1
1729,2503602,1
1730,2503602,1
266,2503301,1
1810,2503900,1
1821,2503900,1
1121,2503603,1
541,2500508,1
1813,2503900,1
1114,2503603,1
267,2503301,1
1817,2503900,1
1815,2503900,1
1113,2503603,1
269,2503301,1
1808,2503900,1
1811,2503900,1
1824,2503900,1
263,2503301,1
1814,2503900,1
1812,2503900,1
208260,4400103,1
1816,2503900,1
1698,2503602,1
1803,2503900,1
19,2503302,1
1126,2503603,1
1693,2503602,1
391,2503303,1
1696,2503602,1
1691,2503602,1
1800,2503900,1
1797,2503900,1
208174,4400104,1
1795,2503900,1
1124,2503603,1
1128,2503603,1
208365,4400103,1
1082,2503603,1
165,2503303,1
1123,2503603,1
1694,2503602,1
597,2500507,1
1689,2503602,1
1687,2503602,1
1070,2503603,1
1077,2503603,1
1081,2503603,1
1016,2503400,1
1796,2503900,1
1792,2503900,1
1119,2503603,1
1122,2503603,1
80,2503302,1
1117,2503603,1
1690,2503602,1
1686,2503602,1
88,2503302,1
1073,2503603,1
1074,2503603,1
1078,2503603,1
1079,2503603,1
1080,2503603,1
1093,2503603,1
1129,2503603,1
3284,2500301,1
1674,2503602,1
1072,2503603,1
1076,2503603,1
356,2503303,1
395,2503303,1
1087,2503603,1
5499,2501900,1
1130,2503603,1
208055,4400104,1
1069,2503603,1
1075,2503603,1
401,2503303,1
208296,4400103,1
394,2503303,1
1092,2503603,1
1111,2503603,1
1676,2503602,1
1071,2503603,1
402,2503304,1
400,2503303,1
373,2503304,1
387,2503303,1
1094,2503603,1
1108,2503603,1
1109,2503603,1
4224,2504302,1
5523,2501900,1
1067,2503602,1
409,2503305,1
403,2503304,1
2543,2504901,1
378,2503303,1
1096,2503603,1
1106,2503603,1
1107,2503603,1
1110,2503603,1
376,2503303,1
4029,2504303,1
4397,2504902,1
385,2503303,1
4061,2504303,1
2558,2504901,1
2559,2504901,1
4384,2504902,1
1297,2501300,1
4387,2504902,1
4067,2504303,1
1257,2500702,1
4027,2504303,1
4403,2504902,1
2557,2504901,1
2566,2504901,1
2567,2504901,1
4026,2504303,1
4385,2504902,1
208282,4400104,1
4386,2504902,1
4225,2504302,1
1066,2503602,1
4070,2504301,1
4069,2504303,1
4223,2504302,1
2535,2504901,1
4236,2504200,1
2536,2504901,1
4426,2504301,1
162,2503303,1
1100,2503603,1
2561,2504901,1
2565,2504901,1
2572,2504901,1
4402,2504902,1
414,2503305,1
4404,2504902,1
4396,2504902,1
4024,2504303,1
4390,2504301,1
208106,4400104,1
5566,2501900,1
4072,2504301,1
4066,2504303,1
2564,2504901,1
2570,2504901,1
4025,2504303,1
4405,2504902,1
1370,2500503,1
4034,2504303,1
4435,2504301,1
404,2503304,1
2533,2504901,1
2534,2504901,1
4222,2504302,1
2544,2504901,1
2568,2504901,1
4399,2504902,1
4393,2504902,1
4221,2504302,1
4391,2504301,1
4389,2504301,1
390,2503303,1
4357,2504301,1
4074,2504301,1
4342,2504301,1
4207,2504302,1
4235,2504200,1
4030,2504303,1
4031,2504303,1
4033,2504303,1
1767,2504000,1
2537,2504901,1
2562,2504901,1
4401,2504902,1
4329,2504500,1
4414,2504301,1
4257,2504500,1
4328,2504500,1
4415,2504301,1
4182,2504302,1
4416,2504301,1
4177,2504302,1
4440,2504301,1
4283,2504500,1
4155,2504302,1
207943,4400300,1
4436,2504301,1
4337,2504301,1
208271,4400103,1
4363,2504500,1
4075,2504301,1
208272,4400104,1
208273,4400104,1
4340,2504301,1
4212,2504302,1
4208,2504302,1
4227,2504302,1
4226,2504302,1
4237,2504200,1
4373,2504500,1
4240,2504200,1
4441,2504301,1
4238,2504200,1
4059,2504303,1
4056,2504303,1
4330,2504500,1
4042,2504303,1
4041,2504303,1
4431,2504301,1
4032,2504303,1
1768,2504000,1
4333,2504500,1
208283,4400104,1
1779,2504000,1
2538,2504901,1
2539,2504901,1
4410,2504902,1
4292,2504500,1
4421,2504301,1
4430,2504301,1
4417,2504301,1
4307,2504500,1
4438,2504301,1
4439,2504301,1
4168,2504302,1
4432,2504301,1
4433,2504301,1
4178,2504302,1
3097,2500300,1
4362,2504500,1
4258,2504500,1
4284,2504500,1
4358,2504301,1
3188,2500300,1
4338,2504301,1
4204,2504302,1
4229,2504302,1
4230,2504302,1
4231,2504302,1
3193,2500300,1
4347,2504301,1
3194,2500300,1
4377,2504301,1
4213,2504302,1
4228,2504302,1
4233,2504200,1
4234,2504200,1
4232,2504200,1
208611,4400300,1
208612,4400300,1
4045,2504303,1
208386,4400103,1
4060,2504303,1
4058,2504303,1
3195,2500300,1
4057,2504303,1
4047,2504303,1
4205,2504302,1
3196,2500300,1
4035,2504303,1
1783,2504000,1
1774,2504000,1
4206,2504302,1
2540,2504901,1
2541,2504901,1
4309,2504500,1
4412,2504902,1
2712,2504903,1
2715,2504903,1
4420,2504301,1
4311,2504500,1
4418,2504301,1
4427,2504301,1
4152,2504302,1
208629,4400300,1
4429,2504301,1
1877,2504901,1
4437,2504301,1
4282,2504500,1
4320,2504500,1
4346,2504301,1
544,2500508,1
4345,2504301,1
4352,2504301,1
4422,2504301,1
320,2503304,1
4348,2504301,1
1789,2504901,1
4354,2504301,1
4353,2504301,1
4199,2504302,1
4202,2504302,1
4203,2504302,1
4068,2504303,1
4048,2504303,1
4049,2504303,1
4040,2504303,1
4419,2504301,1
4039,2504303,1
1780,2504000,1
1773,2504000,1
1772,2504000,1
2647,2504902,1
4176,2504302,1
2648,2504902,1
4425,2504301,1
4413,2504902,1
2710,2504903,1
2711,2504903,1
2714,2504903,1
2716,2504903,1
2717,2504903,1
4310,2504500,1
4428,2504301,1
4281,2504500,1
4319,2504500,1
4323,2504500,1
4326,2504500,1
4344,2504301,1
4343,2504301,1
4325,2504500,1
4350,2504301,1
4349,2504301,1
4200,2504302,1
207939,4400300,1
4150,2504302,1
207941,4400300,1
4064,2504303,1
4044,2504303,1
4055,2504303,1
4050,2504303,1
4062,2504303,1
4151,2504302,1
207940,4400300,1
4051,2504303,1
4424,2504301,1
4065,2504303,1
1778,2504000,1
1700,2503602,1
1771,2504000,1
4423,2504301,1
4279,2504500,1
4287,2504500,1
1770,2504000,1
1791,2504901,1
4316,2504500,1
4317,2504500,1
2646,2504902,1
4321,2504500,1
4322,2504500,1
4327,2504500,1
4351,2504301,1
2708,2504903,1
4198,2504302,1
4201,2504302,1
5495,2501900,1
2709,2504903,1
4179,2504302,1
4159,2504302,1
2702,2504903,1
2724,2504903,1
2726,2504903,1
207944,4400300,1
4054,2504303,1
2727,2504903,1
4063,2504303,1
4686,2504700,1
4052,2504303,1
4053,2504303,1
208387,4400103,1
4137,2504200,1
208421,4400104,1
1776,2504000,1
2695,2504903,1
1769,2504000,1
1886,2504901,1
1728,2503602,1
1790,2504901,1
4312,2504500,1
2706,2504903,1
2697,2504903,1
2699,2504903,1
2701,2504903,1
2718,2504903,1
2723,2504903,1
2725,2504903,1
4656,2504700,1
4278,2504500,1
4291,2504500,1
4286,2504500,1
1775,2504000,1
1727,2504000,1
1703,2503602,1
4367,2504500,1
1880,2504901,1
1887,2504901,1
2696,2504903,1
2700,2504903,1
4368,2504500,1
363,2503303,1
2704,2504903,1
2719,2504903,1
2722,2504903,1
2721,2504903,1
4275,2504500,1
4290,2504500,1
160,2503303,1
1745,2504000,1
1726,2504000,1
1701,2503602,1
393,2503303,1
1879,2504901,1
1881,2504901,1
1888,2504901,1
144,2503303,1
2694,2504903,1
2698,2504903,1
2703,2504903,1
2720,2504903,1
4272,2504500,1
4274,2504500,1
4365,2504500,1
4370,2504500,1
4366,2504500,1
4308,2504500,1
4371,2504500,1
207938,4400300,1
4249,2504301,1
4375,2504500,1
4331,2504500,1
4332,2504500,1
4173,2504302,1
4171,2504302,1
4148,2504302,1
1744,2504000,1
1723,2504000,1
1704,2504000,1
1699,2503602,1
5272,2501901,1
1878,2504901,1
359,2503303,1
1876,2504901,1
1697,2503602,1
1882,2504901,1
1884,2504901,1
4172,2504302,1
4160,2504302,1
1743,2504000,1
1721,2504000,1
1705,2504000,1
1874,2504901,1
4271,2504500,1
4369,2504500,1
4293,2504500,1
4356,2504301,1
4364,2504500,1
4372,2504500,1
