OID_,FID_PUMAs2,STATEFP10,PUMACE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,FID_candidate_CTPS_TAZ_STATEWIDE_2019,OBJECTID_1,id,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,sector,Shape_Length,Shape_Area,REGION,TAZ,PUMA
187,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,675,676,5426,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,1621.593501,,0.017026165,1.57464E-05,1,5426,2501600
189,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,2801,2802,2841,I,HARDWICK,MA,"HARDWICK,MA",CMRPC,0, ,52574.0013,,0.090961258,1.58148E-06,1,2841,2501600
190,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,2823,2824,5648,I,WARE,MA,"WARE,MA",PVPC,0, ,25134.10568,,0.266448102,0.002386639,1,5648,2501600
192,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,2827,2828,5216,I,WARE,MA,"WARE,MA",PVPC,0, ,46295.42054,,0.475393477,0.007258867,1,5216,2501600
194,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,2847,2848,5657,I,WARE,MA,"WARE,MA",PVPC,0, ,11820.18678,,0.124857631,0.000510505,1,5657,2501600
195,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,2848,2849,5658,I,WARE,MA,"WARE,MA",PVPC,0, ,9032.836288,,0.093748431,0.000401799,1,5658,2501600
196,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,2849,2850,5217,I,PALMER,MA,"PALMER,MA",PVPC,0, ,35600.08944,,0.365599217,0.004424876,1,5217,2501600
197,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,2850,2851,5218,I,BELCHERTOWN,MA,"BELCHERTOWN,MA",PVPC,0, ,47176.64422,,0.504221705,0.006676953,1,5218,2501600
200,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,2879,2880,5659,I,WARE,MA,"WARE,MA",PVPC,0, ,10115.98853,,0.104982958,0.000448316,1,5659,2501600
202,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,2881,2882,5650,I,BRIMFIELD,MA,"BRIMFIELD,MA",PVPC,0, ,41582.04219,,0.444079909,0.006838674,1,5650,2501600
