OID_,id,GISMATCH,GEOID,STATEFIP,State_1,PUMA,Name,pumaArea,Shape_Length,Shape_Area,AreaMi
1,4398,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,4423.116179450481468,11.922946673993232,0.000004603475448
2,4398,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,22284.336475902779057,20167435.552480749785900,7.786690400088651
3,2571,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,18243.344991902282345,9282538.611683994531631,3.584008195189743
4,2571,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,1822.591386387955481,953.348313608290255,0.000368089841775
5,2669,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,6819.882656594058062,12762.371787040761774,0.004927579295737
6,2669,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,17885.564196534425719,16045529.242356747388840,6.195213476233583
7,4392,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,23735.098951723248319,19921323.198079414665699,7.691665888798005
8,2641,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,19458.111921789597545,4236087.842223132029176,1.635562659869945
9,2643,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,18394.739527703372005,7058618.080118584446609,2.725347677414081
10,2666,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,63064.776025344915979,6511793.106598220765591,2.514217374765563
11,2665,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,14488.985620734469194,4509325.113114214502275,1.741060159968925
12,2675,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,9122.346693019573650,2562732.505283882841468,0.989476552185362
13,1961,2500703,2500703,25,Massachusetts,00703,"Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA",186.877446297999995,26448.195261844317429,5219217.016195719130337,2.015150956116057
14,2569,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,13498.211003131684265,6366904.198849036358297,2.458275454727488
15,2569,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,812.228349464613302,67.559718251913381,0.000026084953051
