OID_,id,taz,type,town,state,town_state,mpo,in_brmpo,subregion,sector,FID_PUMAs,statefp10,pumace10,geoid10,aland10,awater10,state10,puma10,Shape_Length,Shape_Area
96,4398,0,I,MIDDLEBOROUGH,MA,"MIDDLEBOROUGH,MA",SRPEDD,0, ,South,32,25,4901,2504901,299193233,6716110,25,4901,4419.026036,11.99560092
97,4398,0,I,MIDDLEBOROUGH,MA,"MIDDLEBOROUGH,MA",SRPEDD,0, ,South,33,25,4902,2504902,621827560,42961316,25,4902,22284.33805,20167435.58
98,2571,1,I,BRIDGEWATER,MA,"BRIDGEWATER,MA",OCPC,0, ,South,32,25,4901,2504901,299193233,6716110,25,4901,18243.34491,9282538.55
99,2571,1,I,BRIDGEWATER,MA,"BRIDGEWATER,MA",OCPC,0, ,South,33,25,4902,2504902,621827560,42961316,25,4902,1822.896239,953.4141309
100,2669,2,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,Southeast,32,25,4901,2504901,299193233,6716110,25,4901,6819.614193,12762.39314
101,2669,2,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,17885.56407,16045529.23
102,4392,3,I,MIDDLEBOROUGH,MA,"MIDDLEBOROUGH,MA",SRPEDD,0, ,South,33,25,4902,2504902,621827560,42961316,25,4902,23735.09895,19921323.2
103,2641,49,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,19458.11192,4236087.842
104,2643,50,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,18394.73953,7058618.08
105,2666,51,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,63168.96154,6570340.971
106,2665,52,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,14260.83056,4534400.798
107,2675,53,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,9247.484093,2594486.129
108,1961,1804,I,NEWBURY,MA,"NEWBURY,MA",MVPC,0, ,Northeast,63,25,703,2500703,470252098,816184875,25,703,30299.49795,5686829.201
109,2569,4,I,BRIDGEWATER,MA,"BRIDGEWATER,MA",OCPC,0, ,South,32,25,4901,2504901,299193233,6716110,25,4901,13498.21111,6366904.191
110,2569,4,I,BRIDGEWATER,MA,"BRIDGEWATER,MA",OCPC,0, ,South,33,25,4902,2504902,621827560,42961316,25,4902,812.2140447,67.56049289
111,2670,5,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,12087.9435,6622156.532
112,2674,6,I,PLYMPTON,MA,"PLYMPTON,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,24348.82785,30384097.85
113,2674,6,I,PLYMPTON,MA,"PLYMPTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,4673.245928,220.4516224
114,2542,7,I,EAST BRIDGEWATER,MA,"EAST BRIDGEWATER,MA",OCPC,0, ,South,32,25,4901,2504901,299193233,6716110,25,4901,21808.97319,8525896.686
115,2542,7,I,EAST BRIDGEWATER,MA,"EAST BRIDGEWATER,MA",OCPC,0, ,South,33,25,4902,2504902,621827560,42961316,25,4902,2529.790258,564.2893515
116,1807,124,I,BRAINTREE,MA,"BRAINTREE,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,7255.229988,2669503.894
117,2672,8,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,12646.50824,7306987.327
118,2673,9,I,PLYMPTON,MA,"PLYMPTON,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,14771.31285,8736598.703
119,2673,9,I,PLYMPTON,MA,"PLYMPTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,5207.059107,543.2930143
120,2684,10,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,3852.492392,85.08553502
121,2684,10,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,21265.2639,17215968.2
122,4406,11,I,CARVER,MA,"CARVER,MA",SRPEDD,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,14113.76117,9249414.847
123,4406,11,I,CARVER,MA,"CARVER,MA",SRPEDD,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,1978.915918,3.687114437
124,4313,464,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0, ,,18,25,4500,2504500,83738524,263512667,25,4500,1500.314397,144088.0652
125,4407,12,I,CARVER,MA,"CARVER,MA",SRPEDD,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,15590.47672,8500103.119
126,1829,125,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,5038.504404,1374844.017
127,4314,465,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0, ,,18,25,4500,2504500,83738524,263512667,25,4500,1437.26466,128963.1928
128,4408,13,I,CARVER,MA,"CARVER,MA",SRPEDD,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,14705.08136,7112613.065
129,2668,14,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,Southeast,32,25,4901,2504901,299193233,6716110,25,4901,3123.071676,394.1744528
130,2668,14,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,13069.38195,10114791.86
131,1900,72,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,3342.842197,609802.9561
132,2654,15,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,14832.38162,9365574.293
133,2655,16,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,19255.77096,14329474.59
134,2655,16,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,8021.20403,4014.278477
135,1794,158,I,BRAINTREE,MA,"BRAINTREE,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,4060.48972,741903.566
136,4324,466,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0, ,,18,25,4500,2504500,83738524,263512667,25,4500,1764.894945,179329.7807
137,2682,17,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,3100.471478,808.7565876
138,2682,17,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,9513.828504,4934397.202
139,2683,18,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,3919.411017,64.80503017
140,2683,18,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,14881.54353,7145688.489
141,2680,19,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,9276.052946,2647500.771
142,2677,20,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,10758.62491,3197664.989
143,1833,112,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,4403.069273,1164698.318
144,2707,21,I,PLYMOUTH,MA,"PLYMOUTH,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,1670.671937,61.26032272
145,2707,21,I,PLYMOUTH,MA,"PLYMOUTH,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,9567.859231,4563939.438
146,2649,22,I,HANSON,MA,"HANSON,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,12010.52252,7536152.605
147,1830,113,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,2869.78978,328987.5868
148,4295,566,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0, ,,18,25,4500,2504500,83738524,263512667,25,4500,1369.781773,111874.0726
149,2671,23,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,10076.77547,4926376.775
150,2653,24,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,15346.12318,6626817.779
151,2656,25,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,14943.25224,10266374.04
152,2656,25,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,1942.446885,3933.486474
153,2660,26,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,10550.97061,5936.39892
154,2660,26,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,16847.37867,13981654.32
155,4158,558,I,FALL RIVER,MA,"FALL RIVER,MA",SRPEDD,0, ,,57,25,4302,2504302,106274759,28767178,25,4302,1954.603367,158595.9894
156,207942,559,I,TIVERTON,RI,"TIVERTON,RI", ,0, ,,1,44,300,4400300,327800578,600304808,44,300,20911.71147,19560053.92
157,207942,559,I,TIVERTON,RI,"TIVERTON,RI", ,0, ,,57,25,4302,2504302,106274759,28767178,25,4302,14530.99364,27.50128358
158,4248,560,I,WESTPORT,MA,"WESTPORT,MA",SRPEDD,0, ,,18,25,4500,2504500,83738524,263512667,25,4500,4033.261212,6.134137717
159,4248,560,I,WESTPORT,MA,"WESTPORT,MA",SRPEDD,0, ,,35,25,4301,2504301,685000130,120093384,25,4301,30903.10899,26608488.77
160,2661,27,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,3936.180098,1993.919589
161,2661,27,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,13746.46088,6775087.28
162,2681,28,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,11102.66248,4526022.807
163,2679,29,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,9360.382116,3042905.49
164,4145,567,I,FALL RIVER,MA,"FALL RIVER,MA",SRPEDD,0, ,,57,25,4302,2504302,106274759,28767178,25,4302,1727.948791,182946.0675
165,2678,30,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,8645.124288,1983141.401
166,1083,159,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,1103.097821,99.39913828
167,1083,159,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,Southeast,61,25,3603,2503603,76604566,27531385,25,3603,5094.026727,938219.7724
168,1735,1392,I,BROCKTON,MA,"BROCKTON,MA",OCPC,0, ,South,31,25,4000,2504000,108024136,2117768,25,4000,2142.089563,205323.5214
169,2705,31,I,PLYMOUTH,MA,"PLYMOUTH,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,11590.24609,4737812.396
170,2650,32,I,HANSON,MA,"HANSON,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,9188.767249,3568550.204
171,2652,33,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,13871.66777,7900865.605
