geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,Tot_Emp_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,Tot_Emp_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,Tot_Emp_diff,Tot_Pop_diff
PUMA,2500100.0,63347.0,24337.0,23732.0,8175.0,7103.0,25371.0,20883.0,11322.0,5771.0,58709.0,137289.0,63347,24336,23731,8178,7102,25341,20869,11345,5792,58696,137120,0.0,-1.0,-1.0,3.0,-1.0,-30.0,-14.0,23.0,21.0,-13.0,-169.0
PUMA,2500200.0,53938.0,18862.0,21350.0,7122.0,6604.0,19879.0,16629.0,10109.0,7321.0,46356.0,129864.0,58028,19009,21573,7422,10024,20162,17206,11578,9082,54933,149636,4090.0,147.0,223.0,300.0,3420.0,283.0,577.0,1469.0,1761.0,8577.0,19772.0
PUMA,2500300.0,79304.0,28889.0,24466.0,11696.0,14253.0,35844.0,24843.0,11791.0,6826.0,102769.0,196511.0,79304,28890,24477,11688,14249,35773,24858,11820,6853,102659,196425,0.0,1.0,11.0,-8.0,-4.0,-71.0,15.0,29.0,27.0,-110.0,-86.0
PUMA,2500301.0,55721.0,18970.0,22083.0,7617.0,7051.0,22672.0,17176.0,10636.0,5237.0,44288.0,125769.0,55721,18964,22085,7631,7041,22654,17169,10649,5249,44291,125688,0.0,-6.0,2.0,14.0,-10.0,-18.0,-7.0,13.0,12.0,3.0,-81.0
PUMA,2500302.0,61650.0,19700.0,22291.0,8675.0,10984.0,16527.0,19876.0,14992.0,10255.0,40015.0,142461.0,62256,19728,22315,8689,11524,16544,19910,15455,10347,41034,145491,606.0,28.0,24.0,14.0,540.0,17.0,34.0,463.0,92.0,1019.0,3030.0
PUMA,2500303.0,58605.0,17637.0,21993.0,8550.0,10425.0,13315.0,16080.0,13356.0,15854.0,59475.0,138912.0,58605,17634,21991,8548,10432,13285,16057,13362,15901,59480,138863,0.0,-3.0,-2.0,-2.0,7.0,-30.0,-23.0,6.0,47.0,5.0,-49.0
PUMA,2500304.0,79829.0,23281.0,32230.0,11408.0,12910.0,23181.0,24728.0,19320.0,12600.0,47822.0,185308.0,81558,23377,32265,11441,14475,23253,24776,20331,13198,51264,194086,1729.0,96.0,35.0,33.0,1565.0,72.0,48.0,1011.0,598.0,3442.0,8778.0
PUMA,2500400.0,45148.0,14107.0,17632.0,6451.0,6958.0,11497.0,13305.0,10525.0,9821.0,29536.0,107550.0,50334,14546,18349,7310,10129,12158,14221,11911,12044,39679,129326,5186.0,439.0,717.0,859.0,3171.0,661.0,916.0,1386.0,2223.0,10143.0,21776.0
PUMA,2500501.0,53573.0,15115.0,21012.0,8163.0,9283.0,11618.0,12979.0,12947.0,16029.0,56583.0,124027.0,53573,15121,21014,8160,9278,11597,12960,12944,16072,56568,123999,0.0,6.0,2.0,-3.0,-5.0,-21.0,-19.0,-3.0,43.0,-15.0,-28.0
PUMA,2500502.0,42867.0,14200.0,14604.0,6518.0,7545.0,19009.0,12943.0,7344.0,3571.0,36699.0,107232.0,42867,14199,14602,6518,7548,18989,12936,7359,3583,36702,107180,0.0,-1.0,-2.0,0.0,3.0,-20.0,-7.0,15.0,12.0,3.0,-52.0
PUMA,2500503.0,63893.0,19706.0,22484.0,10363.0,11340.0,15625.0,15597.0,14458.0,18213.0,138828.0,152519.0,63893,19697,22482,10365,11349,15539,15553,14485,18316,138398,152473,0.0,-9.0,-2.0,2.0,9.0,-86.0,-44.0,27.0,103.0,-430.0,-46.0
PUMA,2500504.0,69151.0,22918.0,23180.0,11348.0,11705.0,20185.0,17567.0,14282.0,17117.0,106214.0,167919.0,69151,22915,23185,11343,11708,20132,17543,14296,17180,106106,167810,0.0,-3.0,5.0,-5.0,3.0,-53.0,-24.0,14.0,63.0,-108.0,-109.0
PUMA,2500505.0,63011.0,19762.0,22556.0,10726.0,9967.0,13332.0,15281.0,16962.0,17436.0,45078.0,140552.0,63011,19768,22555,10725,9963,13322,15262,16953,17474,45115,140605,0.0,6.0,-1.0,-1.0,-4.0,-10.0,-19.0,-9.0,38.0,37.0,53.0
PUMA,2500506.0,61443.0,19954.0,27818.0,8097.0,5574.0,11849.0,15304.0,12620.0,21670.0,151423.0,145048.0,61443,19037,27770,8460,6176,11779,15237,12615,21812,131254,133451,0.0,-917.0,-48.0,363.0,602.0,-70.0,-67.0,-5.0,142.0,-20169.0,-11597.0
PUMA,2500507.0,64039.0,19464.0,27324.0,8786.0,8465.0,16415.0,21937.0,17055.0,8632.0,53393.0,141022.0,64816,19506,27336,8796,9178,16457,21933,17606,8820,55492,144943,777.0,42.0,12.0,10.0,713.0,42.0,-4.0,551.0,188.0,2099.0,3921.0
PUMA,2500508.0,59149.0,19360.0,22274.0,9016.0,8499.0,17825.0,16828.0,16172.0,8324.0,38584.0,144197.0,59149,19359,22273,9014,8503,17818,16813,16177,8341,38623,144090,0.0,-1.0,-1.0,-2.0,4.0,-7.0,-15.0,5.0,17.0,39.0,-107.0
PUMA,2500701.0,89762.0,27609.0,31695.0,14179.0,16279.0,34849.0,26269.0,18070.0,10574.0,77087.0,224295.0,89762,27610,31686,14175,16291,34815,26263,18095,10589,77103,224196,0.0,1.0,-9.0,-4.0,12.0,-34.0,-6.0,25.0,15.0,16.0,-99.0
PUMA,2500702.0,50644.0,15230.0,16878.0,7989.0,10547.0,10491.0,12398.0,12130.0,15625.0,48276.0,122378.0,50644,15230,16880,7987,10547,10473,12386,12126,15659,48303,122354,0.0,0.0,2.0,-2.0,0.0,-18.0,-12.0,-4.0,34.0,27.0,-24.0
PUMA,2500703.0,101627.0,39669.0,32918.0,14565.0,14475.0,35849.0,25712.0,20574.0,19492.0,97781.0,229273.0,103877,39758,32955,14590,16574,35881,25791,21809,20396,103301,240525,2250.0,89.0,37.0,25.0,2099.0,32.0,79.0,1235.0,904.0,5520.0,11252.0
PUMA,2500704.0,48889.0,18119.0,14555.0,7362.0,8853.0,21050.0,13136.0,9227.0,5476.0,33546.0,114487.0,50740,18181,14639,7478,10442,21123,13223,10018,6376,38344,124793,1851.0,62.0,84.0,116.0,1589.0,73.0,87.0,791.0,900.0,4798.0,10306.0
PUMA,2501000.0,65035.0,20419.0,21792.0,10643.0,12181.0,17201.0,16390.0,16865.0,14579.0,74421.0,158412.0,65035,20418,21793,10642,12182,17162,16365,16874,14634,74397,158384,0.0,-1.0,1.0,-1.0,1.0,-39.0,-25.0,9.0,55.0,-24.0,-28.0
PUMA,2501300.0,51710.0,14125.0,19499.0,8212.0,9874.0,9907.0,13162.0,14379.0,14262.0,90109.0,129599.0,53893,14239,19648,8273,11733,10011,13252,15202,15428,95757,140701,2183.0,114.0,149.0,61.0,1859.0,104.0,90.0,823.0,1166.0,5648.0,11102.0
PUMA,2501400.0,55398.0,15270.0,18157.0,9575.0,12396.0,12315.0,11223.0,10921.0,20939.0,60226.0,135995.0,55398,15273,18161,9574,12390,12282,11211,10921,20984,60217,135985,0.0,3.0,4.0,-1.0,-6.0,-33.0,-12.0,0.0,45.0,-9.0,-10.0
PUMA,2501600.0,66427.0,21801.0,25695.0,9083.0,9848.0,21282.0,21175.0,14508.0,9462.0,46119.0,148299.0,72666,22288,26524,9938,13916,22180,22301,16210,11975,58099,175910,6239.0,487.0,829.0,855.0,4068.0,898.0,1126.0,1702.0,2513.0,11980.0,27611.0
PUMA,2501900.0,65683.0,21029.0,26032.0,9130.0,9492.0,35197.0,18821.0,8588.0,3077.0,87909.0,166439.0,65683,21037,26030,9119,9497,35141,18833,8616,3093,87785,166297,0.0,8.0,-2.0,-11.0,5.0,-56.0,12.0,28.0,16.0,-124.0,-142.0
PUMA,2501901.0,67689.0,24802.0,20859.0,9839.0,12189.0,26809.0,19809.0,13258.0,7813.0,66782.0,155414.0,68403,24835,20871,9859,12838,26810,19858,13868,7867,67812,159424,714.0,33.0,12.0,20.0,649.0,1.0,49.0,610.0,54.0,1030.0,4010.0
PUMA,2501902.0,55372.0,18444.0,19586.0,8137.0,9205.0,18426.0,16781.0,11715.0,8450.0,37540.0,126586.0,59946,18770,20190,8642,12344,18917,17431,12983,10615,47628,147735,4574.0,326.0,604.0,505.0,3139.0,491.0,650.0,1268.0,2165.0,10088.0,21149.0
PUMA,2502400.0,53794.0,15250.0,16896.0,9445.0,12203.0,13068.0,12897.0,11534.0,16295.0,60891.0,129958.0,53794,15254,16894,9444,12202,13038,12882,11537,16337,60893,130029,0.0,4.0,-2.0,-1.0,-1.0,-30.0,-15.0,3.0,42.0,2.0,71.0
PUMA,2502800.0,68556.0,23816.0,23099.0,10859.0,10782.0,20119.0,17618.0,18907.0,11912.0,72997.0,155995.0,71191,24042,23386,11029,12734,20296,17889,19658,13348,79387,168885,2635.0,226.0,287.0,170.0,1952.0,177.0,271.0,751.0,1436.0,6390.0,12890.0
