geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,Tot_Emp_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,Tot_Emp_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,Tot_Emp_diff,Tot_Pop_diff
PUMA,2500100,63347.0,24337.0,23732.0,8175.0,7103.0,25371.0,20883.0,11322.0,5771.0,24354.0,20564.0,15486.0,2943.0,58709.0,137289.0,63359,24269,23711,8175,7204,25284,20841,11431,5803,24872,20551,15066,2870,59351,137426,12.0,-68.0,-21.0,0.0,101.0,-87.0,-42.0,109.0,32.0,518.0,-13.0,-420.0,-73.0,642.0,137.0
PUMA,2500200,53938.0,18862.0,21350.0,7122.0,6604.0,19879.0,16629.0,10109.0,7321.0,19117.0,16691.0,15170.0,2960.0,46356.0,129864.0,58033,18781,21577,7608,10067,20131,17063,11551,9288,22513,17515,13871,4134,58814,149909,4095.0,-81.0,227.0,486.0,3463.0,252.0,434.0,1442.0,1967.0,3396.0,824.0,-1299.0,1174.0,12458.0,20045.0
PUMA,2500300,79304.0,28889.0,24466.0,11696.0,14253.0,35844.0,24843.0,11791.0,6826.0,28778.0,27589.0,18374.0,4563.0,102769.0,196511.0,79373,28533,24413,11810,14617,35702,24900,11873,6898,25905,27543,20338,5587,97222,196110,69.0,-356.0,-53.0,114.0,364.0,-142.0,57.0,82.0,72.0,-2873.0,-46.0,1964.0,1024.0,-5547.0,-401.0
PUMA,2500301,55721.0,18970.0,22083.0,7617.0,7051.0,22672.0,17176.0,10636.0,5237.0,20952.0,18118.0,13846.0,2805.0,44288.0,125769.0,55721,19055,22015,7568,7083,22565,17147,10729,5280,24010,17737,11560,2414,48146,126475,0.0,85.0,-68.0,-49.0,32.0,-107.0,-29.0,93.0,43.0,3058.0,-381.0,-2286.0,-391.0,3858.0,706.0
PUMA,2500302,61650.0,19700.0,22291.0,8675.0,10984.0,16527.0,19876.0,14992.0,10255.0,18455.0,18642.0,19797.0,4756.0,40015.0,142461.0,62256,21148,22447,8233,10428,16488,19828,15478,10462,28651,18222,12161,3222,52368,149214,606.0,1448.0,156.0,-442.0,-556.0,-39.0,-48.0,486.0,207.0,10196.0,-420.0,-7636.0,-1534.0,12353.0,6753.0
PUMA,2500303,58605.0,17637.0,21993.0,8550.0,10425.0,13315.0,16080.0,13356.0,15854.0,15151.0,20030.0,19383.0,4041.0,59475.0,138912.0,58627,17764,21961,8487,10415,13239,16021,13440,15927,17972,20337,16804,3514,64537,139937,22.0,127.0,-32.0,-63.0,-10.0,-76.0,-59.0,84.0,73.0,2821.0,307.0,-2579.0,-527.0,5062.0,1025.0
PUMA,2500304,79829.0,23281.0,32230.0,11408.0,12910.0,23181.0,24728.0,19320.0,12600.0,21835.0,27164.0,24601.0,6229.0,47822.0,185308.0,81558,25275,32512,10807,12964,23174,24702,20353,13329,36774,26460,14027,4297,67952,199670,1729.0,1994.0,282.0,-601.0,54.0,-7.0,-26.0,1033.0,729.0,14939.0,-704.0,-10574.0,-1932.0,20130.0,14362.0
PUMA,2500400,45148.0,14107.0,17632.0,6451.0,6958.0,11497.0,13305.0,10525.0,9821.0,11913.0,15307.0,15273.0,2655.0,29536.0,107550.0,49960,14912,18231,7036,9781,12047,14100,11809,12004,20266,16306,10392,2996,47718,130145,4812.0,805.0,599.0,585.0,2823.0,550.0,795.0,1284.0,2183.0,8353.0,999.0,-4881.0,341.0,18182.0,22595.0
PUMA,2500501,53573.0,15115.0,21012.0,8163.0,9283.0,11618.0,12979.0,12947.0,16029.0,14317.0,16537.0,18895.0,3824.0,56583.0,124027.0,53594,15239,20959,8090,9306,11552,12936,12954,16152,16605,16827,16769,3393,60587,124960,21.0,124.0,-53.0,-73.0,23.0,-66.0,-43.0,7.0,123.0,2288.0,290.0,-2126.0,-431.0,4004.0,933.0
PUMA,2500502,42867.0,14200.0,14604.0,6518.0,7545.0,19009.0,12943.0,7344.0,3571.0,15847.0,13475.0,10725.0,2820.0,36699.0,107232.0,42881,14185,14557,6497,7642,18944,12906,7410,3621,17818,13312,9254,2497,39378,107872,14.0,-15.0,-47.0,-21.0,97.0,-65.0,-37.0,66.0,50.0,1971.0,-163.0,-1471.0,-323.0,2679.0,640.0
PUMA,2500503,63893.0,19706.0,22484.0,10363.0,11340.0,15625.0,15597.0,14458.0,18213.0,15007.0,23073.0,21929.0,3884.0,138828.0,152519.0,63974,19774,22490,10360,11350,15535,15577,14514,18348,8878,20032,27948,7116,114023,152043,81.0,68.0,6.0,-3.0,10.0,-90.0,-20.0,56.0,135.0,-6129.0,-3041.0,6019.0,3232.0,-24805.0,-476.0
PUMA,2500504,69151.0,22918.0,23180.0,11348.0,11705.0,20185.0,17567.0,14282.0,17117.0,15869.0,24628.0,22959.0,5695.0,106214.0,167919.0,69166,22786,23153,11380,11847,20094,17516,14380,17176,15087,24371,23600,6108,103964,167900,15.0,-132.0,-27.0,32.0,142.0,-91.0,-51.0,98.0,59.0,-782.0,-257.0,641.0,413.0,-2250.0,-19.0
PUMA,2500505,63011.0,19762.0,22556.0,10726.0,9967.0,13332.0,15281.0,16962.0,17436.0,14103.0,22656.0,22580.0,3672.0,45078.0,140552.0,63016,21101,22618,10116,9181,13240,15161,17007,17608,23507,23131,14030,2348,58291,144607,5.0,1339.0,62.0,-610.0,-786.0,-92.0,-120.0,45.0,172.0,9404.0,475.0,-8550.0,-1324.0,13213.0,4055.0
PUMA,2500506,61443.0,19954.0,27818.0,8097.0,5574.0,11849.0,15304.0,12620.0,21670.0,12313.0,24030.0,21172.0,3928.0,151423.0,145048.0,61625,17384,27658,9300,7283,11814,15313,12675,21823,5629,19054,29659,7283,114304,138712,182.0,-2570.0,-160.0,1203.0,1709.0,-35.0,9.0,55.0,153.0,-6684.0,-4976.0,8487.0,3355.0,-37119.0,-6336.0
PUMA,2500507,64039.0,19464.0,27324.0,8786.0,8465.0,16415.0,21937.0,17055.0,8632.0,13137.0,21877.0,22743.0,6282.0,53393.0,141022.0,64825,20161,27285,8534,8845,16399,21868,17456,9102,21291,23027,15667,4840,69591,148166,786.0,697.0,-39.0,-252.0,380.0,-16.0,-69.0,401.0,470.0,8154.0,1150.0,-7076.0,-1442.0,16198.0,7144.0
PUMA,2500508,59149.0,19360.0,22274.0,9016.0,8499.0,17825.0,16828.0,16172.0,8324.0,14962.0,20992.0,18819.0,4376.0,38584.0,144197.0,59160,20263,22389,8718,7790,17743,16688,16260,8469,24817,20714,10911,2718,50788,147244,11.0,903.0,115.0,-298.0,-709.0,-82.0,-140.0,88.0,145.0,9855.0,-278.0,-7908.0,-1658.0,12204.0,3047.0
PUMA,2500701,89762.0,27609.0,31695.0,14179.0,16279.0,34849.0,26269.0,18070.0,10574.0,29534.0,28703.0,24349.0,7176.0,77087.0,224295.0,89764,27678,31618,14119,16349,34715,26189,18170,10690,35714,28427,19696,5927,85695,225746,2.0,69.0,-77.0,-60.0,70.0,-134.0,-80.0,100.0,116.0,6180.0,-276.0,-4653.0,-1249.0,8608.0,1451.0
PUMA,2500702,50644.0,15230.0,16878.0,7989.0,10547.0,10491.0,12398.0,12130.0,15625.0,12430.0,16674.0,17834.0,3706.0,48276.0,122378.0,50645,15454,16871,7889,10431,10456,12330,12159,15700,16229,17079,14341,2996,54803,123544,1.0,224.0,-7.0,-100.0,-116.0,-35.0,-68.0,29.0,75.0,3799.0,405.0,-3493.0,-710.0,6527.0,1166.0
PUMA,2500703,101627.0,39669.0,32918.0,14565.0,14475.0,35849.0,25712.0,20574.0,19492.0,30914.0,35693.0,29068.0,5952.0,97781.0,229273.0,103882,40002,33003,14554,16323,35831,25781,21711,20559,34840,36144,26368,6530,109599,241213,2255.0,333.0,85.0,-11.0,1848.0,-18.0,69.0,1137.0,1067.0,3926.0,451.0,-2700.0,578.0,11818.0,11940.0
PUMA,2500704,48889.0,18119.0,14555.0,7362.0,8853.0,21050.0,13136.0,9227.0,5476.0,16043.0,15706.0,13290.0,3850.0,33546.0,114487.0,50738,18459,14671,7437,10171,21057,13283,10004,6394,22496,15445,9201,3596,45734,125674,1849.0,340.0,116.0,75.0,1318.0,7.0,147.0,777.0,918.0,6453.0,-261.0,-4089.0,-254.0,12188.0,11187.0
PUMA,2501000,65035.0,20419.0,21792.0,10643.0,12181.0,17201.0,16390.0,16865.0,14579.0,16643.0,21687.0,20707.0,5998.0,74421.0,158412.0,65055,20402,21743,10615,12295,17117,16349,16897,14692,18195,21917,19348,5595,77469,159160,20.0,-17.0,-49.0,-28.0,114.0,-84.0,-41.0,32.0,113.0,1552.0,230.0,-1359.0,-403.0,3048.0,748.0
PUMA,2501300,51710.0,14125.0,19499.0,8212.0,9874.0,9907.0,13162.0,14379.0,14262.0,12117.0,17162.0,17784.0,4647.0,90109.0,129599.0,53739,13846,19727,8669,11497,10251,13415,15015,15058,10972,17362,19568,5837,88831,136514,2029.0,-279.0,228.0,457.0,1623.0,344.0,253.0,636.0,796.0,-1145.0,200.0,1784.0,1190.0,-1278.0,6915.0
PUMA,2501400,55398.0,15270.0,18157.0,9575.0,12396.0,12315.0,11223.0,10921.0,20939.0,12694.0,19666.0,19287.0,3751.0,60226.0,135995.0,55399,15469,18151,9453,12326,12240,11191,10962,21006,14793,20053,17193,3360,64580,136987,1.0,199.0,-6.0,-122.0,-70.0,-75.0,-32.0,41.0,67.0,2099.0,387.0,-2094.0,-391.0,4354.0,992.0
PUMA,2501600,66427.0,21801.0,25695.0,9083.0,9848.0,21282.0,21175.0,14508.0,9462.0,20120.0,21877.0,19418.0,5012.0,46119.0,148299.0,72318,23150,26337,9600,13231,22092,22155,16164,11907,30366,22827,14062,5063,67851,177717,5891.0,1349.0,642.0,517.0,3383.0,810.0,980.0,1656.0,2445.0,10246.0,950.0,-5356.0,51.0,21732.0,29418.0
PUMA,2501900,65683.0,21029.0,26032.0,9130.0,9492.0,35197.0,18821.0,8588.0,3077.0,28200.0,20710.0,12621.0,4152.0,87909.0,166439.0,65778,20766,26029,9235,9748,34947,18808,8610,3413,23359,21065,15688,5666,78971,165779,95.0,-263.0,-3.0,105.0,256.0,-250.0,-13.0,22.0,336.0,-4841.0,355.0,3067.0,1514.0,-8938.0,-660.0
PUMA,2501901,67689.0,24802.0,20859.0,9839.0,12189.0,26809.0,19809.0,13258.0,7813.0,22733.0,22013.0,18102.0,4841.0,66782.0,155414.0,68408,24879,20888,9848,12793,26748,19848,13760,8052,24419,22198,17016,4775,70711,159659,719.0,77.0,29.0,9.0,604.0,-61.0,39.0,502.0,239.0,1686.0,185.0,-1086.0,-66.0,3929.0,4245.0
PUMA,2501902,55372.0,18444.0,19586.0,8137.0,9205.0,18426.0,16781.0,11715.0,8450.0,18645.0,16336.0,15724.0,4667.0,37540.0,126586.0,59815,19488,20135,8399,11793,18833,17381,12926,10675,27034,16734,11226,4821,55580,149423,4443.0,1044.0,549.0,262.0,2588.0,407.0,600.0,1211.0,2225.0,8389.0,398.0,-4498.0,154.0,18040.0,22837.0
PUMA,2502400,53794.0,15250.0,16896.0,9445.0,12203.0,13068.0,12897.0,11534.0,16295.0,11415.0,18753.0,19610.0,4016.0,60891.0,129958.0,53813,15474,16912,9308,12119,13012,12831,11599,16371,13379,19229,17619,3586,65262,131115,19.0,224.0,16.0,-137.0,-84.0,-56.0,-66.0,65.0,76.0,1964.0,476.0,-1991.0,-430.0,4371.0,1157.0
PUMA,2502800,68556.0,23816.0,23099.0,10859.0,10782.0,20119.0,17618.0,18907.0,11912.0,18671.0,23834.0,20792.0,5259.0,72997.0,155995.0,71068,24032,23360,11158,12518,20251,17852,19572,13393,21099,24568,19577,5824,82451,167928,2512.0,216.0,261.0,299.0,1736.0,132.0,234.0,665.0,1481.0,2428.0,734.0,-1215.0,565.0,9454.0,11933.0
PUMA,2503301,69614.0,28244.0,30113.0,6198.0,5059.0,28865.0,19149.0,11615.0,9985.0,23570.0,24577.0,17206.0,4261.0,109286.0,163937.0,70272,24382,31148,7859,6883,28942,19239,11854,10237,19171,24076,20502,6523,100633,158239,658.0,-3862.0,1035.0,1661.0,1824.0,77.0,90.0,239.0,252.0,-4399.0,-501.0,3296.0,2262.0,-8653.0,-5698.0
PUMA,2503302,109838.0,42214.0,45185.0,12238.0,10201.0,32603.0,23883.0,15570.0,37782.0,29235.0,38027.0,36675.0,5901.0,355966.0,227263.0,112701,39368,47837,11295,14201,32821,24480,16347,39053,8862,30506,58733,14600,219931,243323,2863.0,-2846.0,2652.0,-943.0,4000.0,218.0,597.0,777.0,1271.0,-20373.0,-7521.0,22058.0,8699.0,-136035.0,16060.0
PUMA,2503303,74608.0,25560.0,28345.0,11050.0,9653.0,23724.0,23917.0,14495.0,12472.0,19555.0,27655.0,21902.0,5496.0,86715.0,174912.0,74663,25443,28306,11079,9835,23675,23842,14596,12550,20008,27750,21483,5422,87534,175295,55.0,-117.0,-39.0,29.0,182.0,-49.0,-75.0,101.0,78.0,453.0,95.0,-419.0,-74.0,819.0,383.0
PUMA,2503304,57411.0,19561.0,19137.0,9769.0,8944.0,25045.0,17121.0,9601.0,5644.0,18505.0,20237.0,13965.0,4704.0,80780.0,137975.0,61730,19771,19619,10333,12007,25941,18141,10700,6948,18467,21456,15797,6010,86652,157777,4319.0,210.0,482.0,564.0,3063.0,896.0,1020.0,1099.0,1304.0,-38.0,1219.0,1832.0,1306.0,5872.0,19802.0
PUMA,2503305,62713.0,19883.0,23004.0,10257.0,9569.0,16008.0,17836.0,15138.0,13731.0,14158.0,21522.0,22198.0,4835.0,40713.0,139026.0,67444,21980,23608,10132,11724,16811,18493,16375,15765,26399,22902,13638,4505,65500,166368,4731.0,2097.0,604.0,-125.0,2155.0,803.0,657.0,1237.0,2034.0,12241.0,1380.0,-8560.0,-330.0,24787.0,27342.0
PUMA,2503306,44685.0,13600.0,15987.0,6875.0,8223.0,14122.0,15340.0,9518.0,5705.0,11764.0,16038.0,12722.0,4161.0,27603.0,102437.0,48065,14165,16262,7158,10480,14518,15737,10462,7348,20270,16203,7742,3850,44544,121670,3380.0,565.0,275.0,283.0,2257.0,396.0,397.0,944.0,1643.0,8506.0,165.0,-4980.0,-311.0,16941.0,19233.0
PUMA,2503400,67729.0,19543.0,25077.0,11657.0,11452.0,15630.0,13135.0,11882.0,27082.0,15258.0,23079.0,25171.0,4221.0,69998.0,160491.0,69578,19928,25210,11692,12748,15717,13287,12451,28123,19423,24211,21760,4184,80865,170041,1849.0,385.0,133.0,35.0,1296.0,87.0,152.0,569.0,1041.0,4165.0,1132.0,-3411.0,-37.0,10867.0,9550.0
PUMA,2503500,45440.0,10729.0,14502.0,8647.0,11562.0,7887.0,10020.0,10224.0,17309.0,13158.0,15427.0,13454.0,3401.0,64656.0,118860.0,47034,11031,14762,8731,12510,8081,10308,10568,18077,12672,15830,14532,4000,64906,125186,1594.0,302.0,260.0,84.0,948.0,194.0,288.0,344.0,768.0,-486.0,403.0,1078.0,599.0,250.0,6326.0
PUMA,2503601,57274.0,15248.0,18982.0,10381.0,12663.0,12139.0,14575.0,15249.0,15311.0,13054.0,19302.0,20072.0,4846.0,64674.0,141946.0,58565,15499,19045,10323,13698,12127,14587,15451,16400,15335,20105,18326,4799,71682,149948,1291.0,251.0,63.0,-58.0,1035.0,-12.0,12.0,202.0,1089.0,2281.0,803.0,-1746.0,-47.0,7008.0,8002.0
PUMA,2503602,54863.0,17764.0,18727.0,8766.0,9606.0,15513.0,14537.0,14756.0,10057.0,14683.0,19198.0,16797.0,4185.0,80902.0,130513.0,56940,18166,19013,8890,10871,15790,14933,15401,10816,14353,19509,18139,4939,82460,139319,2077.0,402.0,286.0,124.0,1265.0,277.0,396.0,645.0,759.0,-330.0,311.0,1342.0,754.0,1558.0,8806.0
PUMA,2503603,65172.0,25109.0,22156.0,8703.0,9204.0,20819.0,17355.0,16749.0,10249.0,18748.0,23612.0,18551.0,4261.0,47958.0,141110.0,65184,25695,22054,8463,8972,20742,17278,16805,10359,26213,23179,12769,3023,57901,143517,12.0,586.0,-102.0,-240.0,-232.0,-77.0,-77.0,56.0,110.0,7465.0,-433.0,-5782.0,-1238.0,9943.0,2407.0
