process,pid,rss,full_rss,uss,event,children,time
MainProcess,11520,100_401_152,100_401_152,69_881_856,pipeline.run before preload_injectables,0,2022/05/18 18:08:53.162481
MainProcess,11520,100_737_024,100_737_024,69_881_856,pipeline.run after preload_injectables,0,2022/05/18 18:08:53.186692
MainProcess,11520,100_765_696,100_765_696,69_885_952,pipeline.run_model input_pre_processor start,0,2022/05/18 18:08:53.195690
MainProcess,11520,143_736_832,143_736_832,112_799_744,pipeline.run_model input_pre_processor finished,0,2022/05/18 18:08:53.561292
MainProcess,11520,157_532_160,157_532_160,127_209_472,pipeline.run after input_pre_processor,0,2022/05/18 18:08:53.950464
MainProcess,11520,158_539_776,158_539_776,127_229_952,pipeline.run_model setup_data_structures start,0,2022/05/18 18:08:53.961411
MainProcess,11520,161_280_000,161_280_000,130_416_640,pipeline.run_model setup_data_structures finished,0,2022/05/18 18:08:54.349452
MainProcess,11520,161_873_920,161_873_920,130_818_048,pipeline.run after setup_data_structures,0,2022/05/18 18:08:54.597977
MainProcess,11520,162_660_352,162_660_352,130_818_048,pipeline.run_model initial_seed_balancing start,0,2022/05/18 18:08:54.632157
MainProcess,11520,163_217_408,163_217_408,131_956_736,pipeline.run_model initial_seed_balancing finished,0,2022/05/18 18:09:14.732557
MainProcess,11520,164_397_056,164_397_056,132_546_560,pipeline.run after initial_seed_balancing,0,2022/05/18 18:09:14.761759
MainProcess,11520,164_429_824,164_429_824,132_546_560,pipeline.run_model meta_control_factoring start,0,2022/05/18 18:09:14.785667
MainProcess,11520,165_425_152,165_425_152,133_541_888,pipeline.run_model meta_control_factoring finished,0,2022/05/18 18:09:14.795291
MainProcess,11520,165_425_152,165_425_152,133_541_888,pipeline.run after meta_control_factoring,0,2022/05/18 18:09:14.830063
MainProcess,11520,165_425_152,165_425_152,133_541_888,pipeline.run_model final_seed_balancing start,0,2022/05/18 18:09:14.849951
MainProcess,11520,165_675_008,165_675_008,133_791_744,pipeline.run_model final_seed_balancing finished,0,2022/05/18 18:09:14.862148
MainProcess,11520,165_847_040,165_847_040,133_992_448,pipeline.run after final_seed_balancing,0,2022/05/18 18:09:14.895139
MainProcess,11520,165_875_712,165_875_712,133_992_448,pipeline.run_model integerize_final_seed_weights start,0,2022/05/18 18:09:14.927945
MainProcess,11520,167_866_368,167_866_368,134_418_432,pipeline.run_model integerize_final_seed_weights finished,0,2022/05/18 18:09:15.611275
MainProcess,11520,168_398_848,168_398_848,133_939_200,pipeline.run after integerize_final_seed_weights,0,2022/05/18 18:09:15.646572
MainProcess,11520,168_398_848,168_398_848,133_939_200,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/05/18 18:09:15.663662
