,block_id,taz_id
0,250010127004008,4700
68,250010128001000,4635
72,250010127003048,4704
85,250010127003061,4693
143,250010128002000,4633
184,250010128003000,4620
230,250010129001000,4640
254,250010129002000,4694
292,250010129003000,4705
332,250010130021000,4642
434,250010130023000,4692
486,250010130024000,4641
526,250010131001000,4654
565,250010131002000,4639
627,250010131003000,4637
665,250010131004000,4653
710,250010132001000,4696
735,250010132001026,4643
786,250010132002000,4644
959,250010153001000,4605
1134,250010153002000,4702
1214,250010153003000,4712
1273,250019900000051,4701
1279,250010137001000,4686
1370,250010137002000,4689
1406,250010137003000,4687
1451,250010137004000,4688
1512,250010138001000,4656
1588,250010138002001,4657
1635,250010138003000,4658
1695,250010139001000,4690
1735,250010139002000,4624
1809,250010139003000,4691
1883,250010139004000,4625
1993,250010140021000,4629
2102,250010140022000,4623
2208,250010140023000,4622
2234,250010140024000,4626
2287,250010141001000,4645
2527,250010108001002,4769
2561,250010108002001,4782
2616,250010108003001,4770
2674,250010108004000,4784
2701,250010108005000,4768
2759,250010122001000,4615
2821,250010122002000,4621
2874,250010122003001,4636
3015,250010122004002,4614
3135,250010125022000,4706
3201,250010125023000,4708
3232,250010125024000,4707
3262,250010126011000,4698
3308,250010126012000,4634
3344,250010126021000,4699
3362,250010126022000,4711
3411,250010126023000,4709
3433,250010126024000,4710
3450,250010127001000,4695
3503,250010127002000,4703
3646,250010109001000,4719
3773,250010109002000,4720
3819,250010109003000,4783
3896,250010109004000,4785
3930,250010106001003,4738
4008,250010106002000,4762
4057,250010106003001,4737
4102,250010106004000,4739
4147,250010107001000,4740
4206,250010107002000,4741
4312,250010107003000,4742
4393,250010107004000,4743
4432,250010113001001,4774
4491,250010113002000,4773
4553,250010113003001,4775
4603,250010114001000,4780
4640,250010114002000,4781
4672,250010114003001,4771
4713,250010114004000,4767
4767,250010115001000,4778
4797,250010115002000,4779
4852,250010115003000,4777
4905,250010115004000,4763
4998,250010115005000,4732
5030,250010116001000,4733
5096,250010116002000,4764
5142,250010116003000,4734
5265,250010117001000,4751
5313,250010117002000,4753
5375,250010117003000,4752
5463,250010103041000,4731
5522,250010103042000,4730
5580,250010103043000,4787
5650,250010103061000,4749
5705,250010103062000,4748
5786,250010103063000,4602
5846,250010143001000,4675
5942,250010143002000,4628
5991,250010143003000,4677
6034,250010143004000,4684
6075,250010143005000,4676
6131,250010144021000,4678
6219,250010144022000,4627
6308,250010144023000,4680
6359,250010145001000,4630
6436,250010145002000,4663
6510,250010145003000,4666
6594,250010146001000,4681
6620,250010146002000,4685
6646,250010146003000,4665
6699,250010146004000,4664
6753,250010147001000,4670
6808,250010147002000,4679
6862,250010147003000,4671
6899,250010148001000,4667
6932,250010148002000,4668
7036,250010148003000,4683
7071,250010148004000,4682
7119,250010149001000,4672
7186,250010149002000,4673
7259,250010149003000,4669
7298,250010149004000,4674
7351,250010110021000,4723
7403,250010110022000,4725
7481,250010110023000,4724
7540,250010110024000,4766
7654,250010111001000,4744
7707,250010111002000,4786
7756,250010111003000,4761
7842,250010111004000,4726
7881,250010112001000,4728
7967,250010112002000,4745
8047,250010112003000,4727
8088,250010112004000,4722
8179,250010150011000,4649
8261,250010150012000,4660
8302,250010150021000,4650
8391,250010150022000,4651
8445,250010151001000,4652
8514,250010151002000,4631
8590,250010151002076,4632
8716,250010152002001,4697
8832,250010104001000,4729
8889,250010104002000,4746
8928,250010104003000,4735
8975,250010104004000,4721
9021,250010104004046,4750
9025,250010105001000,4747
9209,250010105003000,4736
9269,250010101001000,4788
9409,250010101002000,4790
9446,250010101003000,4794
9471,250010101004000,4791
9517,250010101005000,4792
9562,250010133001001,4655
9662,250010133002000,4661
9704,250010133003002,4716
9787,250010134001001,4715
9847,250010134002000,4662
9877,250010134003000,4713
9940,250010134004001,4714
9990,250010135001000,4638
10056,250010135002000,4718
10076,250010135003000,4659
10141,250010135004000,4717
10170,250010136001000,4647
10285,250010136002000,4648
10348,250010136003000,4646
10581,250010102081000,4793
10688,250010102082000,4789
10791,250010102083002,4795
10910,250010102061000,4601
11024,250010102062000,4604
11159,250010102063001,4603
11333,250010118011000,4772
11404,250010118012000,4613
11475,250010118021000,4776
11521,250010118022000,4607
11584,250010118023000,4755
11654,250010118024000,4754
11700,250010120011000,4756
11790,250010120012000,4617
11876,250010120013000,4759
11926,250010120014000,4760
11980,250010120021000,4758
12054,250010120022000,4757
12152,250010120023000,4765
12227,250010121011000,4608
12282,250010121012000,4606
12360,250010121013000,4618
12399,250010121014000,4619
12448,250010121015000,4609
12495,250010121021000,4616
12570,250010121022000,4611
12675,250010121023000,4612
12741,250010121024000,4610
12778,250039221001000,6073
12800,250039221002000,6072
12819,250039221003000,6062
12847,250039221004000,6071
12860,250039222001000,6128
12891,250039222002000,6052
12914,250039222003000,6080
12949,250039222004000,6081
12971,250039223001000,6061
13005,250039223002000,6053
13052,250039343001000,6012
13102,250039322002000,6132
13331,250039322003000,6083
13399,250039231001000,6084
13432,250039231002000,6089
13496,250039231003000,6090
13557,250039311001000,6101
13578,250039311002000,6100
13624,250039121001000,6113
13650,250039121002000,6112
13691,250039121003000,6135
13710,250039121004000,6056
13752,250039121005000,6055
13773,250039121006000,6054
13819,250039121007000,6102
13855,250039343002000,6070
13958,250039313001000,6020
14062,250039251001000,6141
14080,250039251002000,6139
14210,250039251003000,6142
14235,250039251004000,6010
14263,250039251005000,6138
14297,250039251006000,6137
14458,250039251007000,6140
14515,250039351002000,6007
14610,250039323001000,6133
14643,250039323002000,6067
14778,250039111001000,6085
14898,250039111002000,6088
14943,250039111003000,6093
14970,250039141001000,6021
15027,250039141002000,6034
15060,250039141003000,6022
15095,250039141004000,6014
15199,250039141005000,6051
15294,250039141006000,6050
15362,250039131001000,6042
15387,250039131002000,6043
15423,250039131003000,6035
15466,250039131004000,6044
15486,250039131005000,6015
15521,250039131006000,6143
15586,250039131007000,6036
15618,250039332002000,6016
15788,250039351001000,6011
15825,250039333001000,6017
15905,250039333002000,6082
16016,250039213001000,6047
16049,250039213002000,6002
16082,250039213003000,6003
16094,250039213004000,6004
16103,250039214001000,6005
16166,250039214002000,6006
16211,250039215001000,6018
16262,250039215002000,6124
16309,250039353001000,6045
16330,250039353002000,6046
16362,250039353003000,6024
16382,250039353004000,6023
16424,250039334001000,6078
16537,250039334002000,6037
16665,250039314002000,6032
16721,250039001001000,6039
16738,250039001002000,6038
16792,250039001003000,6025
16806,250039001004000,6026
16819,250039002001000,6031
16827,250039002002000,6029
16836,250039002003000,6048
16857,250039002004000,6030
16865,250039002005000,6028
16874,250039002006000,6027
16887,250039003001000,6057
16909,250039003002000,6069
16925,250039003003000,6068
16940,250039004001000,6076
16959,250039004002000,6095
16988,250039004003000,6094
17064,250039004004000,6087
17102,250039004005000,6086
17151,250039005001000,6097
17171,250039005002000,6096
17258,250039006001000,6106
17269,250039006002000,6098
17285,250039006003000,6105
17302,250039006004000,6104
17325,250039006005000,6125
17348,250039007001000,6119
17365,250039007002000,6117
17381,250039007003000,6108
17420,250039007004000,6107
17455,250039008001000,6064
17478,250039008002000,6063
17513,250039008003000,6074
17544,250039008004000,6065
17577,250039008005000,6118
17594,250039009001000,6091
17614,250039009002000,6079
17626,250039009003000,6075
17643,250039009004000,6126
17678,250039009005000,6109
17700,250039011001000,6114
17711,250039011002000,6115
17732,250039011003000,6120
17750,250039011004000,6111
17790,250039352001000,6110
17801,250039352002000,6092
17828,250039352003000,6099
17853,250039352004000,6103
17864,250039352005000,6116
17968,250039351003000,6136
18039,250039351004000,6121
18085,250039334003000,6019
18258,250039313002000,6060
18352,250039261001000,6122
18474,250039261002000,6130
18516,250039261003000,6129
18583,250039261004000,6123
18621,250039241001000,6001
18736,250039241002000,6131
18810,250039241003000,6127
18895,250039332001000,6013
18953,250039322001000,6058
19049,250039342001000,6077
19106,250039342002000,6134
19213,250039201011000,6009
19258,250039201012000,6049
19295,250039201013000,6059
19319,250039201014000,6041
19343,250039201021000,6033
19358,250039201022000,6008
19419,250039201023000,6040
19444,250039314001000,6066
19545,250056541001000,4355
19573,250056541002000,4356
19587,250056541003000,4357
19614,250056541004000,4358
19680,250056542001000,4359
19708,250056542002000,4360
19766,250056542003000,4361
19794,250056311001000,4094
19831,250056311002000,4095
19851,250056311003000,4096
19921,250056311004000,4097
19949,250056311005000,4098
19970,250056311006000,4099
19983,250056311007000,4100
20016,250056312001000,4101
20053,250056312002000,4102
20089,250056312003000,4103
20118,250056312004000,4104
20147,250056312005000,4105
20175,250056313001000,4106
20203,250056313002000,4107
20240,250056313003000,4108
20280,250056314001000,4109
20308,250056314002000,4110
20336,250056315001000,4111
20383,250056315002000,4112
20398,250056316001000,4113
20426,250056316002000,4114
20451,250056316003000,4115
20488,250056317001000,4116
20521,250056317002000,4117
20538,250056317003000,4118
20561,250056317004000,4119
20574,250056318001000,4120
20600,250056318002000,4121
20608,250056318003000,4122
20649,250056318004000,4123
20679,250056161001000,4067
20732,250056161002000,4068
20779,250056161003000,4069
20830,250056531011000,4337
20893,250056531012000,4338
20914,250056531013000,4339
20983,250056531014000,4340
21037,250056531021000,4341
21069,250056531022000,4342
21118,250056532031000,4343
21147,250056532032000,4344
21203,250056532033000,4345
21241,250056532034000,4346
21260,250056532041000,4347
21295,250056533011000,4348
21323,250056533012000,4349
21347,250056533013000,4350
21362,250056533014000,4351
21386,250056533015000,4352
21418,250056533041000,4353
21481,250056533042000,4354
21554,250059855001000,4377
21607,250056151001000,4062
21639,250056151002000,4063
21670,250056151003000,4064
21717,250056151004000,4065
21735,250056151005000,4066
21805,250056001001000,2523
21835,250056001002000,2526
21856,250056001002021,2528
21876,250056002021000,2527
21926,250056002022000,2529
21936,250056002022010,2522
21953,250056002031000,2519
21957,250056002031004,2520
22015,250056002033021,2521
22114,250059856001000,2525
22118,250059856001004,2524
22221,250056551001000,4362
22259,250056551002000,4363
22315,250056551003000,4364
22326,250056552001000,4365
22350,250056552002000,4366
22385,250056552003000,4367
22403,250056552004000,4368
22438,250056552005000,4369
22454,250056553001000,4370
22485,250056553002000,4371
22521,250056553003000,4372
22552,250056554001000,4373
22597,250056554002000,4374
22622,250056554003000,4375
22641,250056554004000,4376
22709,250056401001000,4140
22721,250056401002000,4141
22738,250056401003000,4142
22753,250056401004000,4143
22788,250056401005000,4144
22849,250056402001000,4145
22866,250056402002000,4146
22881,250056402003000,4147
22894,250056402004000,4148
22927,250056402005000,4149
22942,250056403001000,4150
22963,250056403002000,4151
22979,250056403003000,4152
22999,250056404001000,4153
23008,250056404002000,4154
23019,250056404003000,4155
23041,250056405001000,4156
23051,250056405002000,4157
23059,250056405003000,4158
23071,250056405004000,4159
23093,250056405005000,4160
23106,250056406001000,4161
23117,250056406002000,4162
23142,250056406003000,4163
23156,250056406004000,4164
23168,250056407001000,4165
23187,250056407002000,4166
23199,250056407003000,4167
23212,250056408001000,4168
23227,250056408002000,4169
23270,250056408003000,4170
23336,250056409011000,4171
23344,250056409012000,4172
23354,250056409013000,4173
23366,250056409014000,4174
23378,250056409015000,4175
23384,250056410001000,4176
23415,250056410002000,4177
23425,250056410003000,4178
23437,250056411011000,4179
23486,250056411012000,4180
23496,250056412001000,4181
23508,250056412002000,4182
23565,250056413001000,4183
23575,250056413002000,4184
23591,250056413003000,4185
23597,250056413004000,4186
23612,250056413005000,4187
23623,250056414001000,4188
23630,250056414002000,4189
23637,250056414003000,4190
23659,250056415001000,4191
23670,250056415002000,4192
23685,250056416001000,4193
23704,250056416002000,4194
23729,250056417001000,4195
23758,250056417002000,4196
23791,250056417003000,4197
23810,250056417004000,4198
23914,250056418001000,4199
23926,250056418002000,4200
23939,250056418003000,4201
23950,250056419001000,4202
23959,250056419002000,4203
23981,250056420001000,4204
24019,250056420002000,4205
24041,250056420003000,4206
24090,250056421001000,4207
24136,250056421002000,4208
24158,250056421003000,4209
24165,250056422001000,4210
24178,250056422002000,4211
24191,250056422003000,4212
24204,250056422004000,4213
