process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,0.8,0.0
MainProcess,setup_data_structures,0.7,0.0
MainProcess,initial_seed_balancing,24.1,0.4
MainProcess,meta_control_factoring,0.1,0.0
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,0.9,0.0
MainProcess,sub_balancing.geography=TAZ,59052.6,984.2
MainProcess,expand_households,1523.1,25.4
MainProcess,write_data_dictionary,1.3,0.0
MainProcess,summarize,18.4,0.3
MainProcess,write_tables,9.0,0.2
MainProcess,write_synthetic_population,40.3,0.7
