geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,HH_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,HH_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,HH_Pop_diff
PUMA,2500100,60052.0,23197.0,22478.0,7737.0,6640.0,24479.0,19632.0,10555.0,5386.0,23393.0,19467.0,14436.0,2756.0,124008.0,60052,23207,22474,7734,6637,24466,19638,10561,5387,23396,19465,14434,2757,124019,0.0,10.0,-4.0,-3.0,-3.0,-13.0,6.0,6.0,1.0,3.0,-2.0,-2.0,1.0,11.0
PUMA,2500200,52841.0,18611.0,20992.0,6881.0,6357.0,19651.0,16342.0,9716.0,7132.0,18940.0,16379.0,14728.0,2794.0,109416.0,52841,18601,20990,6888,6362,19631,16346,9720,7144,18940,16380,14724,2797,109417,0.0,-10.0,-2.0,7.0,5.0,-20.0,4.0,4.0,12.0,0.0,1.0,-4.0,3.0,1.0
PUMA,2500300,79304.0,28889.0,24466.0,11696.0,14253.0,35844.0,24843.0,11791.0,6826.0,28778.0,27589.0,18374.0,4563.0,183707.0,79304,28890,24470,11695,14249,35820,24852,11802,6830,28777,27582,18377,4568,183726,0.0,1.0,4.0,-1.0,-4.0,-24.0,9.0,11.0,4.0,-1.0,-7.0,3.0,5.0,19.0
PUMA,2500301,54179.0,18532.0,21457.0,7408.0,6782.0,22426.0,16645.0,10121.0,4987.0,20589.0,17751.0,13136.0,2703.0,117851.0,54179,18540,21458,7405,6776,22405,16648,10127,4999,20594,17755,13135,2695,117856,0.0,8.0,1.0,-3.0,-6.0,-21.0,3.0,6.0,12.0,5.0,4.0,-1.0,-8.0,5.0
PUMA,2500302,58179.0,18723.0,20832.0,8209.0,10415.0,15939.0,18708.0,14033.0,9499.0,17521.0,17658.0,18497.0,4503.0,131152.0,58179,18726,20830,8208,10415,15909,18702,14051,9517,17520,17657,18498,4504,131180,0.0,3.0,-2.0,-1.0,0.0,-30.0,-6.0,18.0,18.0,-1.0,-1.0,1.0,1.0,28.0
PUMA,2500303,58605.0,17637.0,21993.0,8550.0,10425.0,13315.0,16080.0,13356.0,15854.0,15151.0,20030.0,19383.0,4041.0,136345.0,58605,17644,21991,8549,10421,13288,16064,13356,15897,15154,20027,19384,4040,136364,0.0,7.0,-2.0,-1.0,-4.0,-27.0,-16.0,0.0,43.0,3.0,-3.0,1.0,-1.0,19.0
PUMA,2500304,78483.0,22828.0,31817.0,11107.0,12731.0,22477.0,24575.0,19011.0,12420.0,21585.0,26594.0,24206.0,6098.0,178511.0,78483,22826,31818,11102,12737,22435,24566,19024,12458,21585,26597,24202,6099,178497,0.0,-2.0,1.0,-5.0,6.0,-42.0,-9.0,13.0,38.0,0.0,3.0,-4.0,1.0,-14.0
PUMA,2500400,48731.0,15037.0,19198.0,6974.0,7522.0,12380.0,14482.0,11591.0,10278.0,12883.0,16180.0,16792.0,2876.0,109183.0,48731,15036,19202,6972,7521,12357,14469,11599,10306,12884,16181,16789,2877,109162,0.0,-1.0,4.0,-2.0,-1.0,-23.0,-13.0,8.0,28.0,1.0,1.0,-3.0,1.0,-21.0
PUMA,2500501,51150.0,14314.0,20275.0,7785.0,8776.0,11306.0,12497.0,12341.0,15006.0,13741.0,15717.0,18049.0,3643.0,117677.0,51150,14315,20274,7782,8779,11267,12489,12345,15049,13742,15716,18049,3643,117697,0.0,1.0,-1.0,-3.0,3.0,-39.0,-8.0,4.0,43.0,1.0,-1.0,0.0,0.0,20.0
PUMA,2500502,42867.0,14200.0,14604.0,6518.0,7545.0,19009.0,12943.0,7344.0,3571.0,15847.0,13475.0,10725.0,2820.0,102964.0,42867,14201,14604,6520,7542,18996,12942,7352,3577,15845,13478,10724,2820,102967,0.0,1.0,0.0,2.0,-3.0,-13.0,-1.0,8.0,6.0,-2.0,3.0,-1.0,0.0,3.0
