process,pid,rss,full_rss,uss,event,children,time
MainProcess,10416,100_544_512,100_544_512,69_931_008,pipeline.run before preload_injectables,0,2022/06/07 15:51:47.783158
MainProcess,10416,100_810_752,100_810_752,69_931_008,pipeline.run after preload_injectables,0,2022/06/07 15:51:47.799104
MainProcess,10416,100_839_424,100_839_424,69_935_104,pipeline.run_model input_pre_processor start,0,2022/06/07 15:51:47.799595
MainProcess,10416,146_870_272,146_870_272,116_514_816,pipeline.run_model input_pre_processor finished,0,2022/06/07 15:51:48.194760
MainProcess,10416,160_600_064,160_600_064,129_789_952,pipeline.run after input_pre_processor,0,2022/06/07 15:51:48.578467
MainProcess,10416,161_144_832,161_144_832,129_810_432,pipeline.run_model setup_data_structures start,0,2022/06/07 15:51:48.598529
MainProcess,10416,163_946_496,163_946_496,133_054_464,pipeline.run_model setup_data_structures finished,0,2022/06/07 15:51:48.882748
MainProcess,10416,167_501_824,167_501_824,133_484_544,pipeline.run after setup_data_structures,0,2022/06/07 15:51:49.114433
MainProcess,10416,165_343_232,165_343_232,133_484_544,pipeline.run_model initial_seed_balancing start,0,2022/06/07 15:51:49.131105
MainProcess,10416,165_486_592,165_486_592,134_422_528,pipeline.run_model initial_seed_balancing finished,0,2022/06/07 15:52:08.117546
MainProcess,10416,166_924_288,166_924_288,135_024_640,pipeline.run after initial_seed_balancing,0,2022/06/07 15:52:08.146804
MainProcess,10416,166_924_288,166_924_288,135_024_640,pipeline.run_model meta_control_factoring start,0,2022/06/07 15:52:08.167099
MainProcess,10416,167_235_584,167_235_584,135_335_936,pipeline.run_model meta_control_factoring finished,0,2022/06/07 15:52:08.180107
MainProcess,10416,167_235_584,167_235_584,135_335_936,pipeline.run after meta_control_factoring,0,2022/06/07 15:52:08.210371
MainProcess,10416,167_235_584,167_235_584,135_335_936,pipeline.run_model final_seed_balancing start,0,2022/06/07 15:52:08.213377
MainProcess,10416,167_370_752,167_370_752,135_471_104,pipeline.run_model final_seed_balancing finished,0,2022/06/07 15:52:08.244651
MainProcess,10416,167_444_480,167_444_480,135_761_920,pipeline.run after final_seed_balancing,0,2022/06/07 15:52:08.278538
MainProcess,10416,167_661_568,167_661_568,135_761_920,pipeline.run_model integerize_final_seed_weights start,0,2022/06/07 15:52:08.296729
MainProcess,10416,170_876_928,170_876_928,137_191_424,pipeline.run_model integerize_final_seed_weights finished,0,2022/06/07 15:52:08.918830
MainProcess,10416,170_860_544,170_860_544,136_413_184,pipeline.run after integerize_final_seed_weights,0,2022/06/07 15:52:08.959326
MainProcess,10416,170_885_120,170_885_120,136_413_184,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/06/07 15:52:08.963355
MainProcess,10416,210_767_872,210_767_872,176_992_256,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/06/07 16:22:39.627145
MainProcess,10416,213_839_872,213_839_872,179_113_984,pipeline.run after sub_balancing.geography=TAZ,0,2022/06/07 16:22:39.831209
MainProcess,10416,213_848_064,213_848_064,179_118_080,pipeline.run_model expand_households start,0,2022/06/07 16:22:39.864444
MainProcess,10416,324_853_760,324_853_760,276_246_528,pipeline.run_model expand_households finished,0,2022/06/07 16:24:22.323908
MainProcess,10416,326_934_528,326_934_528,277_356_544,pipeline.run after expand_households,0,2022/06/07 16:24:22.750532
MainProcess,10416,326_934_528,326_934_528,277_356_544,pipeline.run_model write_data_dictionary start,0,2022/06/07 16:24:22.794511
MainProcess,10416,342_138_880,342_138_880,292_294_656,pipeline.run_model write_data_dictionary finished,0,2022/06/07 16:24:23.935722
MainProcess,10416,342_138_880,342_138_880,292_294_656,pipeline.run after write_data_dictionary,0,2022/06/07 16:24:23.999772
MainProcess,10416,342_138_880,342_138_880,292_294_656,pipeline.run_model summarize start,0,2022/06/07 16:24:24.033510
MainProcess,10416,335_179_776,335_179_776,286_294_016,pipeline.run_model summarize finished,0,2022/06/07 16:24:39.991725
MainProcess,10416,341_360_640,341_360_640,291_528_704,pipeline.run after summarize,0,2022/06/07 16:24:40.118042
MainProcess,10416,341_368_832,341_368_832,291_528_704,pipeline.run_model write_tables start,0,2022/06/07 16:24:40.151297
MainProcess,10416,344_674_304,344_674_304,294_834_176,pipeline.run_model write_tables finished,0,2022/06/07 16:24:50.035303
MainProcess,10416,344_674_304,344_674_304,294_834_176,pipeline.run after write_tables,0,2022/06/07 16:24:50.086332
MainProcess,10416,344_674_304,344_674_304,294_834_176,pipeline.run_model write_synthetic_population start,0,2022/06/07 16:24:50.117655
MainProcess,10416,347_361_280,347_361_280,297_504_768,pipeline.run_model write_synthetic_population finished,0,2022/06/07 16:25:32.080997
MainProcess,10416,347_361_280,347_361_280,297_504_768,pipeline.run after write_synthetic_population,0,2022/06/07 16:25:32.135697
MainProcess,10416,347_361_280,347_361_280,297_504_768,pipeline.run after run_models,0,2022/06/07 16:25:32.153750
