geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,Tot_Emp_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,Tot_Emp_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,Tot_Emp_diff,Tot_Pop_diff
PUMA,2500100,63347.0,24337.0,23732.0,8175.0,7103.0,25371.0,20883.0,11322.0,5771.0,24354.0,20564.0,15486.0,2943.0,58709.0,137289.0,63347,24336,23739,8176,7096,25329,20882,11357,5779,24459,20558,15414,2916,60143,137283,0.0,-1.0,7.0,1.0,-7.0,-42.0,-1.0,35.0,8.0,105.0,-6.0,-72.0,-27.0,1434.0,-6.0
PUMA,2500200,53938.0,18862.0,21350.0,7122.0,6604.0,19879.0,16629.0,10109.0,7321.0,19117.0,16691.0,15170.0,2960.0,46356.0,129864.0,57560,19239,21835,7768,8718,20673,17353,11078,8456,20338,18012,15740,3470,59902,145595,3622.0,377.0,485.0,646.0,2114.0,794.0,724.0,969.0,1135.0,1221.0,1321.0,570.0,510.0,13546.0,15731.0
PUMA,2500300,79304.0,28889.0,24466.0,11696.0,14253.0,35844.0,24843.0,11791.0,6826.0,28778.0,27589.0,18374.0,4563.0,102769.0,196511.0,79304,28785,24453,11734,14332,35842,24886,11790,6786,28008,27516,18767,5013,91157,193909,0.0,-104.0,-13.0,38.0,79.0,-2.0,43.0,-1.0,-40.0,-770.0,-73.0,393.0,450.0,-11612.0,-2602.0
PUMA,2500301,55721.0,18970.0,22083.0,7617.0,7051.0,22672.0,17176.0,10636.0,5237.0,20952.0,18118.0,13846.0,2805.0,44288.0,125769.0,55721,19014,22097,7615,6995,22624,17188,10646,5263,21660,18099,13353,2609,52632,127011,0.0,44.0,14.0,-2.0,-56.0,-48.0,12.0,10.0,26.0,708.0,-19.0,-493.0,-196.0,8344.0,1242.0
PUMA,2500302,61650.0,19700.0,22291.0,8675.0,10984.0,16527.0,19876.0,14992.0,10255.0,18455.0,18642.0,19797.0,4756.0,40015.0,142461.0,62256,20207,22514,8679,10856,16528,20061,15277,10390,20872,19141,18238,4005,67632,156827,606.0,507.0,223.0,4.0,-128.0,1.0,185.0,285.0,135.0,2417.0,499.0,-1559.0,-751.0,27617.0,14366.0
PUMA,2500303,58605.0,17637.0,21993.0,8550.0,10425.0,13315.0,16080.0,13356.0,15854.0,15151.0,20030.0,19383.0,4041.0,59475.0,138912.0,58605,17683,22022,8543,10357,13281,16055,13381,15888,15727,20164,18906,3808,69400,140455,0.0,46.0,29.0,-7.0,-68.0,-34.0,-25.0,25.0,34.0,576.0,134.0,-477.0,-233.0,9925.0,1543.0
PUMA,2500304,79829.0,23281.0,32230.0,11408.0,12910.0,23181.0,24728.0,19320.0,12600.0,21835.0,27164.0,24601.0,6229.0,47822.0,185308.0,81529,23956,32619,11622,13332,23262,25070,20056,13141,25373,28253,22566,5337,89484,206072,1700.0,675.0,389.0,214.0,422.0,81.0,342.0,736.0,541.0,3538.0,1089.0,-2035.0,-892.0,41662.0,20764.0
PUMA,2500400,45148.0,14107.0,17632.0,6451.0,6958.0,11497.0,13305.0,10525.0,9821.0,11913.0,15307.0,15273.0,2655.0,29536.0,107550.0,47507,14575,18157,7131,7644,11739,13708,11228,10832,14125,16242,14629,2511,53033,119700,2359.0,468.0,525.0,680.0,686.0,242.0,403.0,703.0,1011.0,2212.0,935.0,-644.0,-144.0,23497.0,12150.0
PUMA,2500501,53573.0,15115.0,21012.0,8163.0,9283.0,11618.0,12979.0,12947.0,16029.0,14317.0,16537.0,18895.0,3824.0,56583.0,124027.0,53573,15150,21024,8152,9247,11556,12962,12961,16094,14788,16632,18511,3642,64580,125055,0.0,35.0,12.0,-11.0,-36.0,-62.0,-17.0,14.0,65.0,471.0,95.0,-384.0,-182.0,7997.0,1028.0
PUMA,2500502,42867.0,14200.0,14604.0,6518.0,7545.0,19009.0,12943.0,7344.0,3571.0,15847.0,13475.0,10725.0,2820.0,36699.0,107232.0,42867,14209,14606,6515,7537,18979,12945,7365,3578,16306,13475,10428,2658,42305,107495,0.0,9.0,2.0,-3.0,-8.0,-30.0,2.0,21.0,7.0,459.0,0.0,-297.0,-162.0,5606.0,263.0
