geography,id,HH_control,Tot_Pop_control,HH_result,Tot_Pop_result,HH_diff,Tot_Pop_diff
TAZ,2,668.0,1234.0,639,1218,-29.0,-16.0
TAZ,3,886.0,1423.0,847,1407,-39.0,-16.0
TAZ,4,526.0,906.0,505,906,-21.0,0.0
TAZ,5,1337.0,2170.0,1277,2132,-60.0,-38.0
TAZ,6,1609.0,2608.0,1534,2549,-75.0,-59.0
TAZ,7,428.0,884.0,412,887,-16.0,3.0
TAZ,8,933.0,1697.0,892,1668,-41.0,-29.0
TAZ,9,951.0,1758.0,910,1734,-41.0,-24.0
TAZ,10,1053.0,1845.0,1006,1814,-47.0,-31.0
TAZ,11,1145.0,2197.0,1093,2147,-52.0,-50.0
TAZ,12,201.0,467.0,198,488,-3.0,21.0
TAZ,13,728.0,1285.0,697,1271,-31.0,-14.0
TAZ,14,296.0,627.0,286,631,-10.0,4.0
TAZ,17,256.0,592.0,249,601,-7.0,9.0
TAZ,18,179.0,378.0,176,399,-3.0,21.0
TAZ,19,1521.0,2738.0,1451,2676,-70.0,-62.0
TAZ,20,76.0,254.0,76,268,0.0,14.0
TAZ,21,3119.0,4843.0,6071,9942,2952.0,5099.0
TAZ,23,4.0,15.0,4,15,0.0,0.0
TAZ,24,225.0,605.0,218,608,-7.0,3.0
TAZ,25,1455.0,2665.0,2839,5502,1384.0,2837.0
TAZ,26,1125.0,2169.0,2199,4498,1074.0,2329.0
TAZ,27,1949.0,3254.0,1857,3170,-92.0,-84.0
TAZ,28,1528.0,2819.0,1458,2753,-70.0,-66.0
TAZ,30,795.0,1511.0,762,1495,-33.0,-16.0
TAZ,31,129.0,349.0,127,364,-2.0,15.0
TAZ,32,800.0,1699.0,765,1668,-35.0,-31.0
TAZ,33,84.0,216.0,84,236,0.0,20.0
TAZ,34,395.0,1142.0,380,1130,-15.0,-12.0
TAZ,36,95.0,445.0,95,460,0.0,15.0
TAZ,37,97.0,261.0,97,284,0.0,23.0
TAZ,39,195.0,749.0,190,749,-5.0,0.0
TAZ,40,10.0,43.0,10,40,0.0,-3.0
TAZ,41,2.0,4.0,2,3,0.0,-1.0
TAZ,45,3.0,12.0,3,12,0.0,0.0
TAZ,46,28.0,85.0,28,87,0.0,2.0
TAZ,47,288.0,653.0,279,661,-9.0,8.0
TAZ,48,35.0,108.0,35,119,0.0,11.0
TAZ,50,306.0,617.0,296,625,-10.0,8.0
TAZ,51,35.0,100.0,35,115,0.0,15.0
TAZ,52,451.0,1160.0,433,1145,-18.0,-15.0
TAZ,55,4.0,41.0,4,38,0.0,-3.0
TAZ,61,286.0,620.0,278,634,-8.0,14.0
TAZ,62,1032.0,2550.0,987,2493,-45.0,-57.0
TAZ,64,32.0,198.0,32,205,0.0,7.0
TAZ,65,57.0,155.0,57,174,0.0,19.0
TAZ,66,177.0,371.0,174,392,-3.0,21.0
TAZ,69,384.0,985.0,370,978,-14.0,-7.0
