geography,id,HH_control,Tot_Pop_control,HH_result,Tot_Pop_result,HH_diff,Tot_Pop_diff
PUMA,2500100,63347.0,137289.0,63347,137275,0.0,-14.0
PUMA,2500200,53938.0,129864.0,54610,134077,672.0,4213.0
PUMA,2500300,79304.0,196511.0,79304,196501,0.0,-10.0
PUMA,2500301,55721.0,125769.0,55721,125812,0.0,43.0
PUMA,2500302,61650.0,142461.0,62166,145856,516.0,3395.0
PUMA,2500303,58605.0,138912.0,58605,138938,0.0,26.0
PUMA,2500304,79829.0,185308.0,80301,187555,472.0,2247.0
PUMA,2500400,45148.0,107550.0,45609,110491,461.0,2941.0
PUMA,2500501,53573.0,124027.0,53573,124051,0.0,24.0
PUMA,2500502,42867.0,107232.0,42867,107224,0.0,-8.0
PUMA,2500503,63893.0,152519.0,63893,152535,0.0,16.0
PUMA,2500504,69151.0,167919.0,69151,167898,0.0,-21.0
PUMA,2500505,63011.0,140552.0,63011,140563,0.0,11.0
PUMA,2500506,61443.0,145048.0,61443,145006,0.0,-42.0
PUMA,2500507,64039.0,141022.0,64339,142684,300.0,1662.0
PUMA,2500508,59149.0,144197.0,59149,144192,0.0,-5.0
PUMA,2500701,89762.0,224295.0,89762,224299,0.0,4.0
PUMA,2500702,50644.0,122378.0,50644,122385,0.0,7.0
PUMA,2500703,101627.0,229273.0,102105,231835,478.0,2562.0
PUMA,2500704,48889.0,114487.0,49161,116256,272.0,1769.0
PUMA,2501000,65035.0,158412.0,65035,158358,0.0,-54.0
PUMA,2501300,51710.0,129599.0,52152,132095,442.0,2496.0
PUMA,2501400,55398.0,135995.0,55398,136002,0.0,7.0
PUMA,2501600,66427.0,148299.0,67078,152475,651.0,4176.0
PUMA,2501900,65683.0,166439.0,65683,166438,0.0,-1.0
PUMA,2501901,67689.0,155414.0,68315,161340,626.0,5926.0
PUMA,2501902,55372.0,126586.0,55809,128949,437.0,2363.0
PUMA,2502400,53794.0,129958.0,53794,129957,0.0,-1.0
PUMA,2502800,68556.0,155995.0,69038,159197,482.0,3202.0
PUMA,2503301,69614.0,163937.0,70051,166866,437.0,2929.0
PUMA,2503302,109838.0,227263.0,110514,231181,676.0,3918.0
PUMA,2503303,74608.0,174912.0,74608,174901,0.0,-11.0
PUMA,2503304,57411.0,137975.0,57856,140930,445.0,2955.0
PUMA,2503305,62713.0,139026.0,63266,142843,553.0,3817.0
PUMA,2503306,44685.0,102437.0,44969,104086,284.0,1649.0
PUMA,2503400,67729.0,160491.0,68187,163144,458.0,2653.0
PUMA,2503500,45440.0,118860.0,45861,121538,421.0,2678.0
PUMA,2503601,57274.0,141946.0,57760,145053,486.0,3107.0
PUMA,2503602,54863.0,130513.0,55144,131959,281.0,1446.0
PUMA,2503603,65172.0,141110.0,65172,141114,0.0,4.0
PUMA,2503900,66172.0,159372.0,66172,159376,0.0,4.0
PUMA,2504000,49006.0,128126.0,49404,130939,398.0,2813.0
PUMA,2504200,58465.0,135220.0,58465,135208,0.0,-12.0
PUMA,2504301,50656.0,122727.0,50656,122737,0.0,10.0
PUMA,2504302,45551.0,98672.0,46007,101846,456.0,3174.0
PUMA,2504303,56609.0,136568.0,56609,136574,0.0,6.0
PUMA,2504500,52374.0,119833.0,52374,119813,0.0,-20.0
PUMA,2504700,50570.0,112992.0,50570,113029,0.0,37.0
PUMA,2504800,45884.0,96631.0,45884,96668,0.0,37.0
PUMA,2504901,49633.0,131401.0,49633,131401,0.0,0.0
PUMA,2504902,49948.0,123239.0,50335,125609,387.0,2370.0
PUMA,2504903,61769.0,144695.0,62077,146285,308.0,1590.0
PUMA,3300300,4143.0,9347.0,4143,9349,0.0,2.0
PUMA,3300400,6309.0,13709.0,6309,13711,0.0,2.0
PUMA,3300500,5093.0,11496.0,5162,11956,69.0,460.0
PUMA,3300600,52172.0,119896.0,52539,121942,367.0,2046.0
PUMA,3300700,64094.0,150531.0,64690,154219,596.0,3688.0
PUMA,3300800,46349.0,100362.0,47037,105142,688.0,4780.0
PUMA,3300900,50738.0,115859.0,51195,118339,457.0,2480.0
PUMA,3301000,81803.0,180259.0,82512,184245,709.0,3986.0
PUMA,4400101,66095.0,148094.0,66726,151705,631.0,3611.0
PUMA,4400102,80788.0,175613.0,81658,181079,870.0,5466.0
PUMA,4400103,81936.0,191631.0,82607,196637,671.0,5006.0
PUMA,4400104,52011.0,116592.0,52544,119355,533.0,2763.0
PUMA,4400201,74253.0,161123.0,74771,163474,518.0,2351.0
PUMA,4400300,54090.0,123452.0,54769,127719,679.0,4267.0
PUMA,4400400,63602.0,143368.0,64157,146576,555.0,3208.0
