process,pid,rss,full_rss,uss,event,children,time
MainProcess,24952,100_175_872,100_175_872,69_689_344,pipeline.run before preload_injectables,0,2022/05/25 13:13:23.402804
MainProcess,24952,100_577_280,100_577_280,69_689_344,pipeline.run after preload_injectables,0,2022/05/25 13:13:23.517876
MainProcess,24952,100_601_856,100_601_856,69_689_344,pipeline.run_model input_pre_processor start,0,2022/05/25 13:13:23.687378
MainProcess,24952,146_624_512,146_624_512,116_064_256,pipeline.run_model input_pre_processor finished,0,2022/05/25 13:13:24.248844
MainProcess,24952,160_432_128,160_432_128,129_789_952,pipeline.run after input_pre_processor,0,2022/05/25 13:13:24.702998
MainProcess,24952,161_153_024,161_153_024,129_810_432,pipeline.run_model setup_data_structures start,0,2022/05/25 13:13:24.770727
MainProcess,24952,163_409_920,163_409_920,131_563_520,pipeline.run_model setup_data_structures finished,0,2022/05/25 13:13:25.130269
MainProcess,24952,163_532_800,163_532_800,131_932_160,pipeline.run after setup_data_structures,0,2022/05/25 13:13:25.526624
MainProcess,24952,163_811_328,163_811_328,131_948_544,pipeline.run_model initial_seed_balancing start,0,2022/05/25 13:13:25.689109
MainProcess,24952,164_196_352,164_196_352,132_292_608,pipeline.run_model initial_seed_balancing finished,0,2022/05/25 13:13:26.370877
MainProcess,24952,164_216_832,164_216_832,132_345_856,pipeline.run after initial_seed_balancing,0,2022/05/25 13:13:26.474801
MainProcess,24952,164_249_600,164_249_600,132_345_856,pipeline.run_model meta_control_factoring start,0,2022/05/25 13:13:26.754777
MainProcess,24952,164_253_696,164_253_696,132_349_952,pipeline.run_model meta_control_factoring finished,0,2022/05/25 13:13:26.893904
MainProcess,24952,164_253_696,164_253_696,132_349_952,pipeline.run after meta_control_factoring,0,2022/05/25 13:13:27.046004
MainProcess,24952,164_253_696,164_253_696,132_349_952,pipeline.run_model final_seed_balancing start,0,2022/05/25 13:13:27.287727
MainProcess,24952,164_257_792,164_257_792,132_354_048,pipeline.run_model final_seed_balancing finished,0,2022/05/25 13:13:27.430936
MainProcess,24952,164_417_536,164_417_536,132_513_792,pipeline.run after final_seed_balancing,0,2022/05/25 13:13:27.570716
MainProcess,24952,164_417_536,164_417_536,132_513_792,pipeline.run_model integerize_final_seed_weights start,0,2022/05/25 13:13:27.672016
MainProcess,24952,168_308_736,168_308_736,134_246_400,pipeline.run_model integerize_final_seed_weights finished,0,2022/05/25 13:13:28.754275
MainProcess,24952,167_657_472,167_657_472,133_193_728,pipeline.run after integerize_final_seed_weights,0,2022/05/25 13:13:28.920734
MainProcess,24952,167_657_472,167_657_472,133_193_728,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/05/25 13:13:29.069755
MainProcess,24952,179_695_616,179_695_616,145_813_504,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/05/25 13:18:57.755637
MainProcess,24952,181_538_816,181_538_816,146_845_696,pipeline.run after sub_balancing.geography=TAZ,0,2022/05/25 13:18:57.833750
MainProcess,24952,181_538_816,181_538_816,146_845_696,pipeline.run_model expand_households start,0,2022/05/25 13:18:58.108995
MainProcess,24952,292_675_584,292_675_584,259_727_360,pipeline.run_model expand_households finished,0,2022/05/25 13:25:35.842374
MainProcess,24952,293_470_208,293_470_208,259_731_456,pipeline.run after expand_households,0,2022/05/25 13:25:36.274498
MainProcess,24952,293_470_208,293_470_208,259_731_456,pipeline.run_model write_data_dictionary start,0,2022/05/25 13:25:36.364326
MainProcess,24952,294_281_216,294_281_216,261_173_248,pipeline.run_model write_data_dictionary finished,0,2022/05/25 13:25:37.798646
MainProcess,24952,295_063_552,295_063_552,261_173_248,pipeline.run after write_data_dictionary,0,2022/05/25 13:25:37.964682
MainProcess,24952,295_063_552,295_063_552,261_173_248,pipeline.run_model summarize start,0,2022/05/25 13:25:38.260229
MainProcess,24952,297_750_528,297_750_528,263_929_856,pipeline.run_model summarize finished,0,2022/05/25 13:25:44.279120
MainProcess,24952,299_978_752,299_978_752,266_170_368,pipeline.run after summarize,0,2022/05/25 13:25:44.529424
MainProcess,24952,300_060_672,300_060_672,266_170_368,pipeline.run_model write_tables start,0,2022/05/25 13:25:44.796975
MainProcess,24952,303_161_344,303_161_344,269_271_040,pipeline.run_model write_tables finished,0,2022/05/25 13:25:57.927243
MainProcess,24952,303_161_344,303_161_344,269_271_040,pipeline.run after write_tables,0,2022/05/25 13:25:58.130216
MainProcess,24952,303_161_344,303_161_344,269_271_040,pipeline.run_model write_synthetic_population start,0,2022/05/25 13:25:58.262135
MainProcess,24952,304_099_328,304_099_328,270_192_640,pipeline.run_model write_synthetic_population finished,0,2022/05/25 13:26:54.291475
MainProcess,24952,304_099_328,304_099_328,270_192_640,pipeline.run after write_synthetic_population,0,2022/05/25 13:26:54.335291
MainProcess,24952,304_099_328,304_099_328,270_192_640,pipeline.run after run_models,0,2022/05/25 13:26:54.622618
