geography,id,HH_control,HH_result,HH_diff
TAZ,2,668.0,636,-32.0
TAZ,3,886.0,843,-43.0
TAZ,4,526.0,501,-25.0
TAZ,5,1337.0,1272,-65.0
TAZ,6,1609.0,1530,-79.0
TAZ,7,428.0,407,-21.0
TAZ,8,933.0,887,-46.0
TAZ,9,951.0,905,-46.0
TAZ,10,1053.0,1002,-51.0
TAZ,11,1145.0,1089,-56.0
TAZ,12,201.0,192,-9.0
TAZ,13,728.0,693,-35.0
TAZ,14,296.0,282,-14.0
TAZ,17,256.0,244,-12.0
TAZ,18,179.0,171,-8.0
TAZ,19,1521.0,1446,-75.0
TAZ,20,76.0,73,-3.0
TAZ,21,3119.0,6061,2942.0
TAZ,23,4.0,4,0.0
TAZ,24,225.0,214,-11.0
TAZ,25,1455.0,2828,1373.0
TAZ,26,1125.0,2187,1062.0
TAZ,27,1949.0,1853,-96.0
TAZ,28,1528.0,1453,-75.0
TAZ,30,795.0,756,-39.0
TAZ,31,129.0,123,-6.0
TAZ,32,800.0,761,-39.0
TAZ,33,84.0,80,-4.0
TAZ,34,395.0,376,-19.0
TAZ,36,95.0,91,-4.0
TAZ,37,97.0,93,-4.0
TAZ,39,195.0,186,-9.0
TAZ,40,10.0,10,0.0
TAZ,41,2.0,2,0.0
TAZ,45,3.0,3,0.0
TAZ,46,28.0,27,-1.0
TAZ,47,288.0,274,-14.0
TAZ,48,35.0,34,-1.0
TAZ,50,306.0,291,-15.0
TAZ,51,35.0,34,-1.0
TAZ,52,451.0,429,-22.0
TAZ,55,4.0,4,0.0
TAZ,61,286.0,272,-14.0
TAZ,62,1032.0,982,-50.0
TAZ,64,32.0,31,-1.0
TAZ,65,57.0,55,-2.0
TAZ,66,177.0,169,-8.0
TAZ,69,384.0,366,-18.0
TAZ,70,368.0,350,-18.0
TAZ,72,168.0,160,-8.0
TAZ,73,215.0,205,-10.0
TAZ,74,707.0,673,-34.0
TAZ,75,1309.0,1245,-64.0
TAZ,76,621.0,591,-30.0
TAZ,77,1101.0,1047,-54.0
TAZ,78,860.0,818,-42.0
TAZ,79,161.0,154,-7.0
TAZ,81,294.0,280,-14.0
TAZ,82,645.0,614,-31.0
TAZ,83,1656.0,1575,-81.0
TAZ,84,1272.0,1210,-62.0
TAZ,85,1554.0,1478,-76.0
TAZ,86,1352.0,1286,-66.0
TAZ,87,474.0,451,-23.0
TAZ,88,310.0,295,-15.0
TAZ,89,122.0,116,-6.0
TAZ,90,100.0,96,-4.0
TAZ,91,218.0,208,-10.0
TAZ,92,1477.0,1405,-72.0
TAZ,93,139.0,133,-6.0
TAZ,94,392.0,373,-19.0
TAZ,95,183.0,174,-9.0
TAZ,97,14.0,14,0.0
TAZ,101,276.0,263,-13.0
TAZ,102,890.0,847,-43.0
TAZ,103,830.0,790,-40.0
TAZ,104,250.0,238,-12.0
TAZ,105,794.0,755,-39.0
TAZ,106,1020.0,970,-50.0
TAZ,107,2463.0,2342,-121.0
TAZ,108,2.0,2,0.0
TAZ,109,813.0,773,-40.0
TAZ,110,1293.0,1230,-63.0
TAZ,111,732.0,696,-36.0
TAZ,112,1638.0,1558,-80.0
TAZ,113,592.0,563,-29.0
TAZ,114,2133.0,2028,-105.0
TAZ,115,1562.0,1485,-77.0
TAZ,116,1797.0,1709,-88.0
TAZ,117,926.0,881,-45.0
TAZ,118,522.0,497,-25.0
TAZ,119,1378.0,1311,-67.0
TAZ,120,1265.0,1203,-62.0
