geography,id,HH_control,HH_result,HH_diff
PUMA,2500100,63347.0,63347,0.0
PUMA,2500200,53938.0,53989,51.0
PUMA,2500300,79304.0,79304,0.0
PUMA,2500301,55721.0,55721,0.0
PUMA,2500302,61650.0,61714,64.0
PUMA,2500303,58605.0,58605,0.0
PUMA,2500304,79829.0,79886,57.0
PUMA,2500400,45148.0,45182,34.0
PUMA,2500501,53573.0,53573,0.0
PUMA,2500502,42867.0,42867,0.0
PUMA,2500503,63893.0,63893,0.0
PUMA,2500504,69151.0,69151,0.0
PUMA,2500505,63011.0,63011,0.0
PUMA,2500506,61443.0,61443,0.0
PUMA,2500507,64039.0,64067,28.0
PUMA,2500508,59149.0,59149,0.0
PUMA,2500701,89762.0,89762,0.0
PUMA,2500702,50644.0,50644,0.0
PUMA,2500703,101627.0,101681,54.0
PUMA,2500704,48889.0,48913,24.0
PUMA,2501000,65035.0,65035,0.0
PUMA,2501300,51710.0,51757,47.0
PUMA,2501400,55398.0,55398,0.0
PUMA,2501600,66427.0,66476,49.0
PUMA,2501900,65683.0,65683,0.0
PUMA,2501901,67689.0,67741,52.0
PUMA,2501902,55372.0,55416,44.0
PUMA,2502400,53794.0,53794,0.0
PUMA,2502800,68556.0,68600,44.0
PUMA,2503301,69614.0,69655,41.0
PUMA,2503302,109838.0,109915,77.0
PUMA,2503303,74608.0,74608,0.0
PUMA,2503304,57411.0,57445,34.0
PUMA,2503305,62713.0,62751,38.0
PUMA,2503306,44685.0,44712,27.0
PUMA,2503400,67729.0,67762,33.0
PUMA,2503500,45440.0,45468,28.0
PUMA,2503601,57274.0,57314,40.0
PUMA,2503602,54863.0,54896,33.0
PUMA,2503603,65172.0,65172,0.0
PUMA,2503900,66172.0,66172,0.0
PUMA,2504000,49006.0,49043,37.0
PUMA,2504200,58465.0,58465,0.0
PUMA,2504301,50656.0,50656,0.0
PUMA,2504302,45551.0,45595,44.0
PUMA,2504303,56609.0,56609,0.0
PUMA,2504500,52374.0,52374,0.0
PUMA,2504700,50570.0,50570,0.0
PUMA,2504800,45884.0,45884,0.0
PUMA,2504901,49633.0,49633,0.0
PUMA,2504902,49948.0,49981,33.0
PUMA,2504903,61769.0,61804,35.0
PUMA,3300300,4143.0,4143,0.0
PUMA,3300400,6309.0,6309,0.0
PUMA,3300500,5093.0,5100,7.0
PUMA,3300600,52172.0,52211,39.0
PUMA,3300700,64094.0,64137,43.0
PUMA,3300800,46349.0,46398,49.0
PUMA,3300900,50738.0,50789,51.0
PUMA,3301000,81803.0,81870,67.0
PUMA,4400101,66095.0,66142,47.0
PUMA,4400102,80788.0,80861,73.0
PUMA,4400103,81936.0,82018,82.0
PUMA,4400104,52011.0,52064,53.0
PUMA,4400201,74253.0,74319,66.0
PUMA,4400300,54090.0,54146,56.0
PUMA,4400400,63602.0,63645,43.0
