geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,Tot_Pop_diff
PUMA,2500100,60052.0,23197.0,22478.0,7737.0,6640.0,24479.0,19632.0,10555.0,5386.0,23393.0,19467.0,14436.0,2756.0,130400.0,60052,23186,22485,7748,6633,24442,19632,10578,5400,23410,19466,14420,2756,130436,0.0,-11.0,7.0,11.0,-7.0,-37.0,0.0,23.0,14.0,17.0,-1.0,-16.0,0.0,36.0
PUMA,2500200,52841.0,18611.0,20992.0,6881.0,6357.0,19651.0,16342.0,9716.0,7132.0,18940.0,16379.0,14728.0,2794.0,126963.0,52870,18585,20976,6885,6424,19600,16342,9763,7165,18934,16407,14733,2796,127202,29.0,-26.0,-16.0,4.0,67.0,-51.0,0.0,47.0,33.0,-6.0,28.0,5.0,2.0,239.0
PUMA,2500300,79304.0,28889.0,24466.0,11696.0,14253.0,35844.0,24843.0,11791.0,6826.0,28778.0,27589.0,18374.0,4563.0,196511.0,79304,28883,24480,11676,14265,35802,24849,11793,6860,28771,27598,18369,4566,196526,0.0,-6.0,14.0,-20.0,12.0,-42.0,6.0,2.0,34.0,-7.0,9.0,-5.0,3.0,15.0
PUMA,2500301,54179.0,18532.0,21457.0,7408.0,6782.0,22426.0,16645.0,10121.0,4987.0,20589.0,17751.0,13136.0,2703.0,122295.0,54179,18535,21459,7401,6784,22398,16639,10136,5006,20596,17752,13124,2707,122327,0.0,3.0,2.0,-7.0,2.0,-28.0,-6.0,15.0,19.0,7.0,1.0,-12.0,4.0,32.0
PUMA,2500302,58179.0,18723.0,20832.0,8209.0,10415.0,15939.0,18708.0,14033.0,9499.0,17521.0,17658.0,18497.0,4503.0,134640.0,58179,18710,20827,8219,10423,15903,18701,14054,9521,17517,17659,18498,4505,134673,0.0,-13.0,-5.0,10.0,8.0,-36.0,-7.0,21.0,22.0,-4.0,1.0,1.0,2.0,33.0
PUMA,2500303,58605.0,17637.0,21993.0,8550.0,10425.0,13315.0,16080.0,13356.0,15854.0,15151.0,20030.0,19383.0,4041.0,138912.0,58605,17627,21988,8554,10436,13286,16065,13354,15900,15153,20024,19391,4037,138918,0.0,-10.0,-5.0,4.0,11.0,-29.0,-15.0,-2.0,46.0,2.0,-6.0,8.0,-4.0,6.0
PUMA,2500304,78483.0,22828.0,31817.0,11107.0,12731.0,22477.0,24575.0,19011.0,12420.0,21585.0,26594.0,24206.0,6098.0,182593.0,78483,22812,31800,11125,12746,22436,24548,19044,12455,21592,26585,24193,6113,182609,0.0,-16.0,-17.0,18.0,15.0,-41.0,-27.0,33.0,35.0,7.0,-9.0,-13.0,15.0,16.0
PUMA,2500400,48731.0,15037.0,19198.0,6974.0,7522.0,12380.0,14482.0,11591.0,10278.0,12883.0,16180.0,16792.0,2876.0,115440.0,48731,15032,19201,6980,7518,12347,14460,11607,10317,12899,16182,16781,2869,115432,0.0,-5.0,3.0,6.0,-4.0,-33.0,-22.0,16.0,39.0,16.0,2.0,-11.0,-7.0,-8.0
PUMA,2500501,51150.0,14314.0,20275.0,7785.0,8776.0,11306.0,12497.0,12341.0,15006.0,13741.0,15717.0,18049.0,3643.0,117985.0,51150,14312,20277,7778,8783,11272,12487,12340,15051,13742,15720,18046,3642,118014,0.0,-2.0,2.0,-7.0,7.0,-34.0,-10.0,-1.0,45.0,1.0,3.0,-3.0,-1.0,29.0
PUMA,2500502,42867.0,14200.0,14604.0,6518.0,7545.0,19009.0,12943.0,7344.0,3571.0,15847.0,13475.0,10725.0,2820.0,107232.0,42867,14202,14600,6516,7549,18987,12937,7365,3578,15849,13477,10722,2819,107252,0.0,2.0,-4.0,-2.0,4.0,-22.0,-6.0,21.0,7.0,2.0,2.0,-3.0,-1.0,20.0
