OID_,REGION,TAZ,PUMA
187,1,5426,2501600
189,1,2841,2501600
190,1,5648,2501600
192,1,5216,2501600
194,1,5657,2501600
195,1,5658,2501600
196,1,5217,2501600
197,1,5218,2501600
200,1,5659,2501600
202,1,5650,2501600
203,1,5208,2501600
205,1,5651,2501600
206,1,2846,2501600
208,1,5652,2501600
209,1,5202,2501600
210,1,5201,2501600
213,1,5649,2501600
214,1,5653,2501600
216,1,5225,2501600
217,1,5205,2501600
218,1,6019,2501600
219,1,5227,2501600
221,1,5204,2501600
222,1,5203,2501600
223,1,5206,2501600
224,1,5207,2501600
226,1,5654,2501600
229,1,5228,2501600
231,1,5234,2501600
233,1,5238,2501600
235,1,5235,2501600
236,1,5226,2501600
238,1,5210,2501600
239,1,5211,2501600
240,1,5215,2501600
241,1,5209,2501600
242,1,5212,2501600
243,1,5213,2501600
244,1,5655,2501600
245,1,5404,2501600
246,1,5214,2501600
247,1,5407,2501600
248,1,5656,2501600
249,1,5222,2501600
250,1,5408,2501600
251,1,5239,2501600
252,1,5219,2501600
253,1,5220,2501600
254,1,5618,2501600
256,1,5231,2501600
258,1,5398,2501600
259,1,5237,2501600
260,1,5240,2501600
261,1,5324,2501600
265,1,5611,2501600
269,1,5244,2501600
270,1,5622,2501600
273,1,5319,2501600
274,1,5411,2501600
275,1,5409,2501600
276,1,5327,2501600
277,1,5410,2501600
278,1,5401,2501600
279,1,5400,2501600
280,1,5399,2501600
281,1,5330,2501600
282,1,5415,2501600
285,1,5430,2501600
286,1,5325,2501600
287,1,5321,2501600
289,1,5412,2501600
292,1,5623,2501600
293,1,5624,2501600
294,1,5246,2501600
295,1,5627,2501600
296,1,5248,2501600
297,1,5628,2501600
298,1,5626,2501600
299,1,5336,2501600
302,1,5320,2501600
303,1,5338,2501600
304,1,5339,2501600
305,1,5413,2501600
309,1,5268,2501600
311,1,5632,2501600
312,1,5633,2501600
313,1,5631,2501600
314,1,5630,2501600
315,1,5634,2501600
316,1,5337,2501600
317,1,5335,2501600
318,1,5405,2501600
319,1,5326,2501600
320,1,5333,2501600
321,1,5334,2501600
322,1,5403,2501600
323,1,5425,2501600
324,1,5406,2501600
325,1,5419,2501600
326,1,5397,2501600
327,1,5402,2501600
328,1,5414,2501600
329,1,5416,2501600
330,1,5418,2501600
331,1,5417,2501600
332,1,5427,2501600
333,1,5428,2501600
334,1,5429,2501600
336,1,5629,2501600
337,1,5844,2501600
338,1,5660,2501600
339,1,5661,2501600
340,1,2889,2501600
341,1,5510,2501902
344,1,5286,2501902
345,1,5467,2501902
346,1,5434,2501902
347,1,5457,2501902
348,1,5453,2501902
349,1,5431,2501902
350,1,5204,2501902
351,1,5203,2501902
352,1,5223,2501902
355,1,5287,2501902
358,1,5219,2501902
359,1,5432,2501902
360,1,5448,2501902
361,1,5449,2501902
362,1,5436,2501902
363,1,5452,2501902
364,1,5459,2501902
365,1,5433,2501902
366,1,5450,2501902
369,1,5455,2501902
370,1,5612,2501902
371,1,5611,2501902
372,1,5243,2501902
374,1,5439,2501902
375,1,5437,2501902
376,1,5242,2501902
377,1,5244,2501902
381,1,5247,2501902
387,1,5255,2501902
388,1,5308,2501902
391,1,5253,2501902
392,1,5441,2501902
394,1,5465,2501902
396,1,5274,2501902
397,1,5443,2501902
398,1,5442,2501902
399,1,5440,2501902
400,1,5438,2501902
402,1,5254,2501902
403,1,5252,2501902
404,1,5512,2501902
405,1,5473,2501902
406,1,5484,2501902
410,1,5486,2501902
411,1,5273,2501902
413,1,5265,2501902
415,1,5588,2501902
416,1,5269,2501902
417,1,5284,2501902
418,1,5501,2501902
419,1,5280,2501902
420,1,5585,2501902
421,1,5590,2501902
423,1,5283,2501902
424,1,5500,2501902
425,1,5487,2501902
426,1,5485,2501902
427,1,5483,2501902
428,1,5511,2501902
429,1,5305,2501902
431,1,5306,2501902
433,1,5281,2501902
434,1,5282,2501902
435,1,5304,2501902
438,1,5444,2501902
439,1,5662,2501902
440,1,5456,2501902
441,1,5463,2501902
442,1,5464,2501902
443,1,5471,2501902
444,1,5466,2501902
445,1,5468,2501902
446,1,5472,2501902
447,1,5469,2501902
448,1,5470,2501902
451,1,5482,2501902
452,1,5583,2501902
453,1,5587,2501902
455,1,5580,2501902
456,1,5581,2501902
457,1,5582,2501902
458,1,5584,2501902
459,1,5586,2501902
460,1,5589,2501902
461,1,5591,2501902
462,1,5592,2501902
463,1,5593,2501902
464,1,5605,2501902
465,1,5606,2501902
466,1,5272,2501901
467,1,5313,2501901
468,1,5278,2501901
469,1,5296,2501901
470,1,5225,2501901
471,1,5355,2501901
472,1,5230,2501901
473,1,5358,2501901
474,1,5354,2501901
475,1,5377,2501901
476,1,5285,2501901
480,1,5250,2501901
481,1,5349,2501901
482,1,5343,2501901
483,1,5346,2501901
484,1,5289,2501901
485,1,5287,2501901
486,1,5344,2501901
487,1,5345,2501901
488,1,5347,2501901
489,1,5348,2501901
490,1,5352,2501901
491,1,5359,2501901
492,1,5368,2501901
493,1,5353,2501901
494,1,5350,2501901
495,1,5369,2501901
496,1,5245,2501901
498,1,5229,2501901
499,1,5370,2501901
500,1,5364,2501901
501,1,5357,2501901
502,1,5356,2501901
503,1,5365,2501901
504,1,5366,2501901
505,1,5363,2501901
506,1,5362,2501901
508,1,5361,2501901
509,1,5360,2501901
510,1,5340,2501901
511,1,5323,2501901
512,1,5379,2501901
513,1,5262,2501901
514,1,5351,2501901
515,1,5382,2501901
516,1,5378,2501901
517,1,5380,2501901
518,1,5381,2501901
519,1,5258,2501901
520,1,5266,2501901
521,1,5260,2501901
522,1,5386,2501901
523,1,5383,2501901
524,1,5385,2501901
525,1,5387,2501901
526,1,5388,2501901
527,1,5389,2501901
528,1,5390,2501901
529,1,5310,2501901
530,1,5317,2501901
531,1,5318,2501901
533,1,5316,2501901
534,1,5394,2501901
535,1,5251,2501901
537,1,5277,2501901
538,1,5256,2501901
539,1,5295,2501901
541,1,5294,2501901
543,1,5290,2501901
544,1,5257,2501901
545,1,5259,2501901
546,1,5261,2501901
547,1,5264,2501901
548,1,5341,2501901
549,1,5292,2501901
550,1,5396,2501901
551,1,5395,2501901
552,1,5291,2501901
553,1,5293,2501901
554,1,5421,2501901
555,1,5267,2501901
556,1,5311,2501901
557,1,5424,2501901
558,1,5420,2501901
559,1,5279,2501901
561,1,5270,2501901
562,1,5271,2501901
564,1,5297,2501901
565,1,5298,2501901
567,1,5302,2501901
568,1,5312,2501901
569,1,5314,2501901
570,1,5300,2501901
573,1,5299,2501901
574,1,5301,2501901
575,1,5342,2501901
576,1,5303,2501901
577,1,5315,2501901
578,1,5375,2501901
579,1,5373,2501901
580,1,5374,2501901
581,1,5367,2501901
582,1,5371,2501901
583,1,5372,2501901
584,1,5376,2501901
585,1,5384,2501901
586,1,5391,2501901
587,1,5422,2501901
588,1,5423,2501901
589,1,5392,2501901
590,1,5393,2501901
591,1,3284,2500301
592,1,3362,2500301
593,1,3365,2500301
594,1,3346,2500301
595,1,3329,2500301
597,1,3394,2500301
602,1,3340,2500301
603,1,3348,2500301
604,1,3345,2500301
605,1,3350,2500301
606,1,3279,2500301
610,1,3351,2500301
613,1,3366,2500301
614,1,3274,2500301
615,1,3275,2500301
617,1,3320,2500301
620,1,3355,2500301
621,1,3349,2500301
