geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,Tot_Pop_diff
PUMA,2500100,60052.0,23197.0,22478.0,7737.0,6640.0,24479.0,19632.0,10555.0,5386.0,23393.0,19467.0,14436.0,2756.0,130400.0,60052,23195,22464,7746,6647,24455,19634,10560,5403,23386,19452,14440,2774,130250,0.0,-2.0,-14.0,9.0,7.0,-24.0,2.0,5.0,17.0,-7.0,-15.0,4.0,18.0,-150.0
PUMA,2500200,52841.0,18611.0,20992.0,6881.0,6357.0,19651.0,16342.0,9716.0,7132.0,18940.0,16379.0,14728.0,2794.0,126963.0,52841,18599,20990,6880,6372,19624,16338,9733,7146,18937,16398,14724,2782,126504,0.0,-12.0,-2.0,-1.0,15.0,-27.0,-4.0,17.0,14.0,-3.0,19.0,-4.0,-12.0,-459.0
PUMA,2500300,79304.0,28889.0,24466.0,11696.0,14253.0,35844.0,24843.0,11791.0,6826.0,28778.0,27589.0,18374.0,4563.0,196511.0,79304,28893,24455,11716,14240,35822,24830,11793,6859,28771,27587,18367,4579,196374,0.0,4.0,-11.0,20.0,-13.0,-22.0,-13.0,2.0,33.0,-7.0,-2.0,-7.0,16.0,-137.0
PUMA,2500301,54179.0,18532.0,21457.0,7408.0,6782.0,22426.0,16645.0,10121.0,4987.0,20589.0,17751.0,13136.0,2703.0,122295.0,54179,18534,21442,7416,6787,22403,16643,10133,5000,20587,17746,13122,2724,122263,0.0,2.0,-15.0,8.0,5.0,-23.0,-2.0,12.0,13.0,-2.0,-5.0,-14.0,21.0,-32.0
PUMA,2500302,58179.0,18723.0,20832.0,8209.0,10415.0,15939.0,18708.0,14033.0,9499.0,17521.0,17658.0,18497.0,4503.0,134640.0,58179,18701,20823,8208,10447,15902,18710,14048,9519,17516,17661,18487,4515,134636,0.0,-22.0,-9.0,-1.0,32.0,-37.0,2.0,15.0,20.0,-5.0,3.0,-10.0,12.0,-4.0
PUMA,2500303,58605.0,17637.0,21993.0,8550.0,10425.0,13315.0,16080.0,13356.0,15854.0,15151.0,20030.0,19383.0,4041.0,138912.0,58605,17624,21983,8552,10446,13280,16073,13358,15894,15143,20030,19382,4050,138890,0.0,-13.0,-10.0,2.0,21.0,-35.0,-7.0,2.0,40.0,-8.0,0.0,-1.0,9.0,-22.0
PUMA,2500304,78483.0,22828.0,31817.0,11107.0,12731.0,22477.0,24575.0,19011.0,12420.0,21585.0,26594.0,24206.0,6098.0,182593.0,78483,22812,31804,11109,12758,22438,24559,19025,12461,21585,26595,24201,6102,182486,0.0,-16.0,-13.0,2.0,27.0,-39.0,-16.0,14.0,41.0,0.0,1.0,-5.0,4.0,-107.0
PUMA,2500400,48731.0,15037.0,19198.0,6974.0,7522.0,12380.0,14482.0,11591.0,10278.0,12883.0,16180.0,16792.0,2876.0,115440.0,48731,15042,19189,6979,7521,12355,14469,11599,10308,12886,16187,16784,2874,115336,0.0,5.0,-9.0,5.0,-1.0,-25.0,-13.0,8.0,30.0,3.0,7.0,-8.0,-2.0,-104.0
PUMA,2500501,51150.0,14314.0,20275.0,7785.0,8776.0,11306.0,12497.0,12341.0,15006.0,13741.0,15717.0,18049.0,3643.0,117985.0,51150,14314,20277,7786,8773,11269,12488,12341,15052,13741,15718,18047,3644,117987,0.0,0.0,2.0,1.0,-3.0,-37.0,-9.0,0.0,46.0,0.0,1.0,-2.0,1.0,2.0
PUMA,2500502,42867.0,14200.0,14604.0,6518.0,7545.0,19009.0,12943.0,7344.0,3571.0,15847.0,13475.0,10725.0,2820.0,107232.0,42867,14205,14599,6519,7544,18995,12932,7364,3576,15846,13471,10724,2826,107157,0.0,5.0,-5.0,1.0,-1.0,-14.0,-11.0,20.0,5.0,-1.0,-4.0,-1.0,6.0,-75.0
PUMA,2500503,63893.0,19706.0,22484.0,10363.0,11340.0,15625.0,15597.0,14458.0,18213.0,15007.0,23073.0,21929.0,3884.0,152519.0,63893,19702,22476,10375,11340,15579,15578,14463,18273,15001,23074,21926,3892,152405,0.0,-4.0,-8.0,12.0,0.0,-46.0,-19.0,5.0,60.0,-6.0,1.0,-3.0,8.0,-114.0
PUMA,2500504,69151.0,22918.0,23180.0,11348.0,11705.0,20185.0,17567.0,14282.0,17117.0,15869.0,24628.0,22959.0,5695.0,167919.0,69151,22907,23177,11355,11712,20126,17559,14296,17170,15872,24624,22956,5699,167799,0.0,-11.0,-3.0,7.0,7.0,-59.0,-8.0,14.0,53.0,3.0,-4.0,-3.0,4.0,-120.0
PUMA,2500505,63011.0,19762.0,22556.0,10726.0,9967.0,13332.0,15281.0,16962.0,17436.0,14103.0,22656.0,22580.0,3672.0,140552.0,63011,19762,22551,10727,9971,13296,15257,16962,17496,14108,22652,22577,3674,140612,0.0,0.0,-5.0,1.0,4.0,-36.0,-24.0,0.0,60.0,5.0,-4.0,-3.0,2.0,60.0
PUMA,2500506,60666.0,19593.0,27520.0,8036.0,5517.0,11576.0,15053.0,12476.0,21561.0,12058.0,23736.0,20967.0,3905.0,143560.0,60666,19380,27484,8095,5707,11551,15030,12477,21608,12061,23740,20955,3910,137250,0.0,-213.0,-36.0,59.0,190.0,-25.0,-23.0,1.0,47.0,3.0,4.0,-12.0,5.0,-6310.0
PUMA,2500507,64816.0,19825.0,27622.0,8847.0,8522.0,16688.0,22188.0,17199.0,8741.0,13392.0,22171.0,22948.0,6305.0,142510.0,64816,19818,27626,8857,8515,16658,22157,17214,8787,13393,22178,22930,6315,142500,0.0,-7.0,4.0,10.0,-7.0,-30.0,-31.0,15.0,46.0,1.0,7.0,-18.0,10.0,-10.0
PUMA,2500508,59149.0,19360.0,22274.0,9016.0,8499.0,17825.0,16828.0,16172.0,8324.0,14962.0,20992.0,18819.0,4376.0,144197.0,59149,19359,22276,9009,8505,17786,16824,16179,8360,14964,20991,18818,4376,144118,0.0,-1.0,2.0,-7.0,6.0,-39.0,-4.0,7.0,36.0,2.0,-1.0,-1.0,0.0,-79.0
PUMA,2500701,87531.0,26894.0,30911.0,13787.0,15939.0,34404.0,25864.0,17324.0,9939.0,29159.0,27876.0,23585.0,6911.0,218881.0,87531,26894,30910,13787,15940,34363,25859,17349,9960,29158,27879,23583,6911,218802,0.0,0.0,-1.0,0.0,1.0,-41.0,-5.0,25.0,21.0,-1.0,3.0,-2.0,0.0,-79.0
PUMA,2500702,48394.0,14472.0,16209.0,7632.0,10081.0,10069.0,11925.0,11451.0,14949.0,11934.0,15839.0,17087.0,3534.0,117330.0,48394,14467,16203,7635,10089,10042,11910,11450,14992,11933,15842,17075,3544,117315,0.0,-5.0,-6.0,3.0,8.0,-27.0,-15.0,-1.0,43.0,-1.0,3.0,-12.0,10.0,-15.0
PUMA,2500703,100702.0,39001.0,32630.0,14516.0,14555.0,35089.0,25211.0,20783.0,19619.0,30372.0,35403.0,29029.0,5898.0,227321.0,100702,38994,32622,14528,14558,35015,25201,20805,19681,30381,35407,29013,5901,227133,0.0,-7.0,-8.0,12.0,3.0,-74.0,-10.0,22.0,62.0,9.0,4.0,-16.0,3.0,-188.0
PUMA,2500704,50740.0,18930.0,15110.0,7598.0,9102.0,21748.0,13571.0,9549.0,5872.0,16643.0,16341.0,13799.0,3957.0,118668.0,50740,18923,15111,7607,9099,21703,13572,9571,5894,16651,16341,13791,3957,118646,0.0,-7.0,1.0,9.0,-3.0,-45.0,1.0,22.0,22.0,8.0,0.0,-8.0,0.0,-22.0
PUMA,2501000,62359.0,19388.0,21025.0,10237.0,11709.0,16360.0,15705.0,16434.0,13860.0,15911.0,20769.0,19920.0,5759.0,152572.0,62359,19389,21027,10238,11705,16309,15695,16436,13919,15915,20765,19920,5759,152548,0.0,1.0,2.0,1.0,-4.0,-51.0,-10.0,2.0,59.0,4.0,-4.0,0.0,0.0,-24.0
PUMA,2501300,53040.0,14535.0,19913.0,8413.0,10179.0,10060.0,13421.0,14564.0,14995.0,12478.0,17573.0,18261.0,4728.0,132940.0,53040,14532,19913,8414,10181,10042,13397,14559,15042,12482,17572,18252,4734,132804,0.0,-3.0,0.0,1.0,2.0,-18.0,-24.0,-5.0,47.0,4.0,-1.0,-9.0,6.0,-136.0
PUMA,2501400,54663.0,15197.0,17857.0,9390.0,12219.0,12315.0,10958.0,10914.0,20476.0,12562.0,19349.0,19016.0,3736.0,134059.0,54663,15193,17855,9392,12223,12274,10946,10915,20528,12563,19344,19011,3745,134056,0.0,-4.0,-2.0,2.0,4.0,-41.0,-12.0,1.0,52.0,1.0,-5.0,-5.0,9.0,-3.0
PUMA,2501600,68423.0,22557.0,26342.0,9379.0,10145.0,22156.0,21745.0,15078.0,9444.0,20413.0,22843.0,20111.0,5056.0,152307.0,68423,22545,26331,9397,10150,22129,21739,15084,9471,20413,22840,20107,5063,152250,0.0,-12.0,-11.0,18.0,5.0,-27.0,-6.0,6.0,27.0,0.0,-3.0,-4.0,7.0,-57.0
PUMA,2501900,64999.0,20828.0,25733.0,9031.0,9407.0,34992.0,18564.0,8438.0,3005.0,27932.0,20465.0,12474.0,4128.0,165003.0,64999,20831,25737,9033,9398,34974,18580,8438,3007,27933,20462,12474,4130,164851,0.0,3.0,4.0,2.0,-9.0,-18.0,16.0,0.0,2.0,1.0,-3.0,0.0,2.0,-152.0
PUMA,2501901,67689.0,24802.0,20859.0,9839.0,12189.0,26809.0,19809.0,13258.0,7813.0,22733.0,22013.0,18102.0,4841.0,155414.0,67689,24794,20855,9841,12199,26769,19806,13290,7824,22726,22013,18099,4851,155387,0.0,-8.0,-4.0,2.0,10.0,-40.0,-3.0,32.0,11.0,-7.0,0.0,-3.0,10.0,-27.0
PUMA,2501902,58565.0,19382.0,20829.0,8600.0,9754.0,18931.0,17960.0,12366.0,9308.0,19779.0,17142.0,16616.0,5028.0,133933.0,58565,19375,20822,8602,9766,18897,17956,12379,9333,19780,17140,16612,5033,133859,0.0,-7.0,-7.0,2.0,12.0,-34.0,-4.0,13.0,25.0,1.0,-2.0,-4.0,5.0,-74.0
PUMA,2502400,53794.0,15250.0,16896.0,9445.0,12203.0,13068.0,12897.0,11534.0,16295.0,11415.0,18753.0,19610.0,4016.0,129958.0,53794,15248,16895,9448,12203,13032,12889,11534,16339,11417,18751,19609,4017,130012,0.0,-2.0,-1.0,3.0,0.0,-36.0,-8.0,0.0,44.0,2.0,-2.0,-1.0,1.0,54.0
PUMA,2502800,70355.0,24481.0,23595.0,11101.0,11178.0,20598.0,18053.0,19141.0,12563.0,19126.0,24461.0,21323.0,5445.0,160113.0,70355,24482,23594,11103,11176,20540,18040,19154,12621,19130,24465,21316,5444,160060,0.0,1.0,-1.0,2.0,-2.0,-58.0,-13.0,13.0,58.0,4.0,4.0,-7.0,-1.0,-53.0
PUMA,2503301,64180.0,25202.0,28356.0,5693.0,4929.0,26661.0,17870.0,10536.0,9113.0,21552.0,22355.0,16190.0,4083.0,155061.0,64180,24782,28311,5770,5317,26632,17846,10564,9138,21547,22350,16192,4091,143721,0.0,-420.0,-45.0,77.0,388.0,-29.0,-24.0,28.0,25.0,-5.0,-5.0,2.0,8.0,-11340.0
PUMA,2503302,108271.0,42516.0,44204.0,11883.0,9668.0,31589.0,23106.0,15883.0,37693.0,28699.0,37684.0,36053.0,5835.0,219715.0,108271,42508,44208,11890,9665,31537,23077,15894,37763,28700,37683,36055,5833,219548,0.0,-8.0,4.0,7.0,-3.0,-52.0,-29.0,11.0,70.0,1.0,-1.0,2.0,-2.0,-167.0
PUMA,2503303,67878.0,22999.0,26368.0,9884.0,8627.0,20768.0,21882.0,13388.0,11840.0,17089.0,25360.0,20581.0,4848.0,156499.0,67878,22996,26367,9892,8623,20744,21847,13389,11898,17090,25366,20573,4849,156394,0.0,-3.0,-1.0,8.0,-4.0,-24.0,-35.0,1.0,58.0,1.0,6.0,-8.0,1.0,-105.0
PUMA,2503304,60619.0,20624.0,20023.0,10442.0,9530.0,27176.0,18057.0,9200.0,6186.0,20384.0,21357.0,13866.0,5012.0,151451.0,60619,20618,20023,10448,9530,27157,18056,9208,6198,20388,21355,13866,5010,151357,0.0,-6.0,0.0,6.0,0.0,-19.0,-1.0,8.0,12.0,4.0,-2.0,0.0,-2.0,-94.0
PUMA,2503305,67402.0,21813.0,24945.0,10789.0,9855.0,18118.0,19640.0,15990.0,13654.0,15558.0,23265.0,23533.0,5046.0,148387.0,67402,21808,24948,10795,9851,18087,19619,15997,13699,15559,23262,23534,5047,148422,0.0,-5.0,3.0,6.0,-4.0,-31.0,-21.0,7.0,45.0,1.0,-3.0,1.0,1.0,35.0
PUMA,2503306,48864.0,15351.0,17339.0,7476.0,8698.0,15615.0,16556.0,10562.0,6131.0,13162.0,17479.0,13792.0,4431.0,110715.0,48864,15348,17333,7477,8706,15591,16546,10571,6156,13164,17478,13788,4434,110825,0.0,-3.0,-6.0,1.0,8.0,-24.0,-10.0,9.0,25.0,2.0,-1.0,-4.0,3.0,110.0
PUMA,2503400,69633.0,20218.0,25758.0,11919.0,11738.0,16115.0,13462.0,12153.0,27903.0,15586.0,23801.0,25926.0,4320.0,164461.0,69633,20211,25759,11916,11747,16078,13448,12148,27959,15583,23789,25927,4334,164347,0.0,-7.0,1.0,-3.0,9.0,-37.0,-14.0,-5.0,56.0,-3.0,-12.0,1.0,14.0,-114.0
PUMA,2503500,44886.0,10412.0,14424.0,8597.0,11453.0,7478.0,10001.0,9907.0,17500.0,12768.0,15340.0,13434.0,3344.0,117798.0,44886,10407,14425,8591,11463,7457,9976,9903,17550,12770,15337,13435,3344,117793,0.0,-5.0,1.0,-6.0,10.0,-21.0,-25.0,-4.0,50.0,2.0,-3.0,1.0,0.0,-5.0
PUMA,2503601,56876.0,15175.0,18715.0,10345.0,12641.0,12339.0,14389.0,15160.0,14988.0,13251.0,19230.0,19657.0,4738.0,141011.0,56876,15169,18719,10339,12649,12296,14366,15160,15054,13249,19229,19654,4744,141036,0.0,-6.0,4.0,-6.0,8.0,-43.0,-23.0,0.0,66.0,-2.0,-1.0,-3.0,6.0,25.0
PUMA,2503602,55903.0,18133.0,19066.0,8936.0,9768.0,15830.0,14717.0,15151.0,10205.0,15027.0,19492.0,17128.0,4256.0,132798.0,55903,18132,19060,8943,9768,15792,14701,15159,10251,15027,19489,17130,4257,132730,0.0,-1.0,-6.0,7.0,0.0,-38.0,-16.0,8.0,46.0,0.0,-3.0,2.0,1.0,-68.0
PUMA,2503603,65172.0,25109.0,22156.0,8703.0,9204.0,20819.0,17355.0,16749.0,10249.0,18748.0,23612.0,18551.0,4261.0,141110.0,65172,25105,22149,8712,9206,20786,17343,16754,10289,18754,23605,18546,4267,141069,0.0,-4.0,-7.0,9.0,2.0,-33.0,-12.0,5.0,40.0,6.0,-7.0,-5.0,6.0,-41.0
PUMA,2503900,66172.0,22282.0,22468.0,9851.0,11571.0,17940.0,18110.0,16105.0,14017.0,16657.0,24761.0,20663.0,4091.0,159372.0,66172,22285,22467,9851,11569,17891,18093,16114,14074,16659,24761,20662,4090,159310,0.0,3.0,-1.0,0.0,-2.0,-49.0,-17.0,9.0,57.0,2.0,0.0,-1.0,-1.0,-62.0
PUMA,2504000,49892.0,13768.0,18842.0,7331.0,9951.0,18228.0,15669.0,10289.0,5706.0,15358.0,15451.0,13585.0,5498.0,130239.0,49892,13766,18840,7332,9954,18206,15663,10301,5722,15360,15447,13584,5501,130174,0.0,-2.0,-2.0,1.0,3.0,-22.0,-6.0,12.0,16.0,2.0,-4.0,-1.0,3.0,-65.0
PUMA,2504200,56659.0,14780.0,22518.0,9807.0,9554.0,14380.0,17826.0,13670.0,10783.0,12616.0,19083.0,20483.0,4477.0,130925.0,56659,14775,22519,9807,9558,14352,17804,13684,10819,12615,19086,20480,4478,131034,0.0,-5.0,1.0,0.0,4.0,-28.0,-22.0,14.0,36.0,-1.0,3.0,-3.0,1.0,109.0
