process,pid,rss,full_rss,uss,event,children,time
MainProcess,19044,100_339_712,100_339_712,69_787_648,pipeline.run before preload_injectables,0,2022/05/26 15:36:59.764032
MainProcess,19044,100_675_584,100_675_584,69_787_648,pipeline.run after preload_injectables,0,2022/05/26 15:36:59.891662
MainProcess,19044,100_700_160,100_700_160,69_787_648,pipeline.run_model input_pre_processor start,0,2022/05/26 15:37:00.021735
MainProcess,19044,146_558_976,146_558_976,115_937_280,pipeline.run_model input_pre_processor finished,0,2022/05/26 15:37:00.550650
MainProcess,19044,160_563_200,160_563_200,130_011_136,pipeline.run after input_pre_processor,0,2022/05/26 15:37:01.032285
MainProcess,19044,161_374_208,161_374_208,130_031_616,pipeline.run_model setup_data_structures start,0,2022/05/26 15:37:01.260283
MainProcess,19044,163_676_160,163_676_160,132_837_376,pipeline.run_model setup_data_structures finished,0,2022/05/26 15:37:01.674641
MainProcess,19044,166_088_704,166_088_704,134_221_824,pipeline.run after setup_data_structures,0,2022/05/26 15:37:01.987535
MainProcess,19044,166_088_704,166_088_704,134_221_824,pipeline.run_model initial_seed_balancing start,0,2022/05/26 15:37:02.017213
MainProcess,19044,165_376_000,165_376_000,134_475_776,pipeline.run_model initial_seed_balancing finished,0,2022/05/26 15:37:20.702695
MainProcess,19044,166_752_256,166_752_256,134_852_608,pipeline.run after initial_seed_balancing,0,2022/05/26 15:37:20.832456
MainProcess,19044,166_760_448,166_760_448,134_852_608,pipeline.run_model meta_control_factoring start,0,2022/05/26 15:37:21.048831
MainProcess,19044,167_010_304,167_010_304,135_102_464,pipeline.run_model meta_control_factoring finished,0,2022/05/26 15:37:21.163454
MainProcess,19044,167_010_304,167_010_304,135_102_464,pipeline.run after meta_control_factoring,0,2022/05/26 15:37:21.280662
MainProcess,19044,167_010_304,167_010_304,135_102_464,pipeline.run_model final_seed_balancing start,0,2022/05/26 15:37:21.383282
MainProcess,19044,167_182_336,167_182_336,135_274_496,pipeline.run_model final_seed_balancing finished,0,2022/05/26 15:37:21.515204
MainProcess,19044,167_260_160,167_260_160,135_385_088,pipeline.run after final_seed_balancing,0,2022/05/26 15:37:21.641267
MainProcess,19044,167_292_928,167_292_928,135_385_088,pipeline.run_model integerize_final_seed_weights start,0,2022/05/26 15:37:21.866332
MainProcess,19044,170_950_656,170_950_656,137_482_240,pipeline.run_model integerize_final_seed_weights finished,0,2022/05/26 15:37:22.669043
MainProcess,19044,170_954_752,170_954_752,136_474_624,pipeline.run after integerize_final_seed_weights,0,2022/05/26 15:37:22.813567
MainProcess,19044,170_954_752,170_954_752,136_474_624,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/05/26 15:37:23.062750
MainProcess,19044,166_047_744,166_047_744,125_521_920,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/05/26 16:14:04.413653
MainProcess,19044,169_381_888,169_381_888,127_823_872,pipeline.run after sub_balancing.geography=TAZ,0,2022/05/26 16:14:04.584736
MainProcess,19044,169_467_904,169_467_904,127_893_504,pipeline.run_model expand_households start,0,2022/05/26 16:14:04.601351
MainProcess,19044,279_998_464,279_998_464,240_807_936,pipeline.run_model expand_households finished,0,2022/05/26 16:15:39.993052
MainProcess,19044,280_961_024,280_961_024,240_840_704,pipeline.run after expand_households,0,2022/05/26 16:15:40.432048
MainProcess,19044,280_961_024,280_961_024,240_840_704,pipeline.run_model write_data_dictionary start,0,2022/05/26 16:15:40.454790
MainProcess,19044,329_195_520,329_195_520,289_894_400,pipeline.run_model write_data_dictionary finished,0,2022/05/26 16:15:41.415029
MainProcess,19044,330_190_848,330_190_848,289_894_400,pipeline.run after write_data_dictionary,0,2022/05/26 16:15:41.466212
MainProcess,19044,330_190_848,330_190_848,289_894_400,pipeline.run_model summarize start,0,2022/05/26 16:15:41.497762
MainProcess,19044,328_781_824,328_781_824,289_406_976,pipeline.run_model summarize finished,0,2022/05/26 16:15:56.706786
MainProcess,19044,334_270_464,334_270_464,293_961_728,pipeline.run after summarize,0,2022/05/26 16:15:56.791259
MainProcess,19044,334_270_464,334_270_464,293_961_728,pipeline.run_model write_tables start,0,2022/05/26 16:15:56.823370
MainProcess,19044,337_203_200,337_203_200,296_894_464,pipeline.run_model write_tables finished,0,2022/05/26 16:16:05.817986
MainProcess,19044,337_203_200,337_203_200,296_894_464,pipeline.run after write_tables,0,2022/05/26 16:16:05.840483
MainProcess,19044,337_203_200,337_203_200,296_894_464,pipeline.run_model write_synthetic_population start,0,2022/05/26 16:16:05.874280
MainProcess,19044,340_951_040,340_951_040,300_724_224,pipeline.run_model write_synthetic_population finished,0,2022/05/26 16:16:51.113538
MainProcess,19044,340_992_000,340_992_000,300_724_224,pipeline.run after write_synthetic_population,0,2022/05/26 16:16:51.155398
MainProcess,19044,340_992_000,340_992_000,300_724_224,pipeline.run after run_models,0,2022/05/26 16:16:51.190950
