"","NAME","Emp Agent","Super-Sector","Sum10","Sum3","perc"
"1","ABINGTON,MA",1,"BASIC",541,1680,0.322
"2","ABINGTON,MA",2,"SERVICE",2406,6373,0.378
"3","ABINGTON,MA",3,"SERVICE",907,6373,0.142
"4","ABINGTON,MA",4,"SERVICE",484,6373,0.076
"5","ABINGTON,MA",5,"SERVICE",227,6373,0.036
"6","ABINGTON,MA",6,"RETAIL",812,812,1
"7","ABINGTON,MA",6,"SERVICE",1142,6373,0.179
"8","ABINGTON,MA",7,"BASIC",499,1680,0.297
"9","ABINGTON,MA",8,"BASIC",0,1680,0
"10","ABINGTON,MA",8,"SERVICE",412,6373,0.065
"11","ABINGTON,MA",9,"SERVICE",795,6373,0.125
"12","ABINGTON,MA",10,"BASIC",640,1680,0.381
"13","ABINGTON,MA",NA,NA,8865,8865,1
"14","ACTON,MA",1,"BASIC",361,2777,0.13
"15","ACTON,MA",2,"SERVICE",2947,8475,0.348
"16","ACTON,MA",3,"SERVICE",665,8475,0.078
"17","ACTON,MA",4,"SERVICE",402,8475,0.047
"18","ACTON,MA",5,"SERVICE",447,8475,0.053
"19","ACTON,MA",6,"RETAIL",840,840,1
"20","ACTON,MA",6,"SERVICE",765,8475,0.09
"21","ACTON,MA",7,"BASIC",1877,2777,0.676
"22","ACTON,MA",8,"BASIC",18,2777,0.006
"23","ACTON,MA",8,"SERVICE",243,8475,0.029
"24","ACTON,MA",9,"SERVICE",3006,8475,0.355
"25","ACTON,MA",10,"BASIC",521,2777,0.188
"26","ACTON,MA",NA,NA,12092,12092,1
"27","ACUSHNET,MA",1,"BASIC",523,1757,0.298
"28","ACUSHNET,MA",2,"SERVICE",1431,3069,0.466
"29","ACUSHNET,MA",3,"SERVICE",232,3069,0.076
"30","ACUSHNET,MA",4,"SERVICE",166,3069,0.054
"31","ACUSHNET,MA",5,"SERVICE",79,3069,0.026
"32","ACUSHNET,MA",6,"RETAIL",754,754,1
"33","ACUSHNET,MA",6,"SERVICE",398,3069,0.13
"34","ACUSHNET,MA",7,"BASIC",683,1757,0.389
"35","ACUSHNET,MA",8,"BASIC",229,1757,0.13
"36","ACUSHNET,MA",8,"SERVICE",288,3069,0.094
"37","ACUSHNET,MA",9,"SERVICE",475,3069,0.155
"38","ACUSHNET,MA",10,"BASIC",322,1757,0.183
"39","ACUSHNET,MA",NA,NA,5580,5580,1
"40","ACWORTH,NH",1,"BASIC",38,192,0.198
"41","ACWORTH,NH",2,"SERVICE",111,237,0.468
"42","ACWORTH,NH",3,"SERVICE",16,237,0.068
"43","ACWORTH,NH",4,"SERVICE",23,237,0.097
"44","ACWORTH,NH",5,"SERVICE",12,237,0.051
"45","ACWORTH,NH",6,"RETAIL",45,45,1
"46","ACWORTH,NH",6,"SERVICE",10,237,0.042
"47","ACWORTH,NH",7,"BASIC",102,192,0.531
"48","ACWORTH,NH",8,"BASIC",40,192,0.208
"49","ACWORTH,NH",8,"SERVICE",19,237,0.08
"50","ACWORTH,NH",9,"SERVICE",46,237,0.194
"51","ACWORTH,NH",10,"BASIC",12,192,0.062
"52","ACWORTH,NH",NA,NA,474,474,1
"53","ADAMS,MA",1,"BASIC",309,1152,0.268
"54","ADAMS,MA",2,"SERVICE",1229,2429,0.506
"55","ADAMS,MA",3,"SERVICE",250,2429,0.103
"56","ADAMS,MA",4,"SERVICE",159,2429,0.065
"57","ADAMS,MA",5,"SERVICE",96,2429,0.04
"58","ADAMS,MA",6,"RETAIL",592,592,1
