geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,HH_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,HH_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,HH_Pop_diff
PUMA,2500100.0,57508,20064,21814,7977,7653,22838,18546,10364,5760,21016,19523,14321,2648,123657,57508,20063,21810,7975,7660,22833,18545,10370,5760,21016,19531,14316,2645,123710,0,-1,-4,-2,7,-5,-1,6,0,0,8,-5,-3,53
PUMA,2500200.0,47987,14887,18923,7044,7133,16928,15041,9437,6581,15372,15646,14255,2714,106829,47987,14888,18924,7043,7132,16929,15037,9439,6582,15371,15648,14254,2714,106873,0,1,1,-1,-1,1,-4,2,1,-1,2,-1,0,44
PUMA,2500300.0,72121,23767,22532,11384,14438,30899,22491,11636,7095,24207,26270,17458,4186,174186,72121,23769,22532,11387,14433,30901,22490,11636,7094,24209,26272,17455,4185,174224,0,2,0,3,-5,2,-1,0,-1,2,2,-3,-1,38
PUMA,2500301.0,49247,14850,18689,7530,8178,18834,14896,10227,5290,16515,17012,12920,2800,116865,49247,14849,18688,7531,8179,18829,14901,10230,5287,16516,17015,12916,2800,116881,0,-1,-1,1,1,-5,5,3,-3,1,3,-4,0,16
PUMA,2500302.0,48342,12868,17841,7508,10125,12162,14859,12351,8970,13422,15055,15981,3884,119360,48342,12871,17840,7508,10123,12160,14858,12354,8970,13423,15054,15980,3885,119376,0,3,-1,0,-2,-2,-1,3,0,1,-1,-1,1,16
PUMA,2500303.0,47325,12332,17249,7586,10158,9782,12300,11248,13995,10991,16648,16323,3363,118409,47325,12329,17246,7586,10164,9780,12299,11253,13993,10990,16645,16327,3363,118427,0,-3,-3,0,6,-2,-1,5,-2,-1,-3,4,0,18
PUMA,2500304.0,62044,15545,23736,9923,12840,16612,18659,15796,10977,15504,21557,20115,4868,154977,62044,15545,23734,9922,12843,16605,18660,15801,10978,15504,21558,20113,4869,154961,0,0,-2,-1,3,-7,1,5,1,0,1,-2,1,-16
PUMA,2500400.0,41374,10378,16161,6551,8284,9880,11857,10408,9229,10267,13956,14450,2701,103486,41374,10379,16160,6554,8281,9878,11859,10413,9224,10266,13959,14448,2701,103471,0,1,-1,3,-3,-2,2,5,-5,-1,3,-2,0,-15
PUMA,2500501.0,44809,10285,16963,7533,10028,8881,11117,11383,13428,10601,14191,16395,3622,115232,44809,10284,16963,7534,10028,8881,11115,11383,13430,10603,14189,16396,3621,115237,0,-1,0,1,0,0,-2,0,2,2,-2,1,-1,5
PUMA,2500502.0,40243,12290,13195,6402,8356,16640,12857,7364,3382,13546,13354,10394,2949,103679,40243,12291,13194,6402,8356,16639,12858,7364,3382,13547,13355,10393,2948,103656,0,1,-1,0,0,-1,1,0,0,1,1,-1,-1,-23
PUMA,2500503.0,54849,16235,18454,8710,11450,12151,13166,12857,16675,11413,20655,18846,3935,129896,54849,16236,18454,8710,11449,12143,13162,12859,16685,11414,20655,18846,3934,129893,0,1,0,0,-1,-8,-4,2,10,1,0,0,-1,-3
PUMA,2500504.0,59297,18091,19373,9646,12187,15770,15430,13041,15056,12088,21997,19710,5502,144808,59297,18092,19372,9642,12191,15767,15432,13041,15057,12088,22000,19710,5499,144827,0,1,-1,-4,4,-3,2,0,1,0,3,0,-3,19
PUMA,2500505.0,54328,16890,18318,8921,10199,10947,13045,14456,15880,11258,20521,18953,3596,125412,54328,16890,18319,8919,10200,10941,13044,14455,15888,11258,20519,18955,3596,125405,0,0,1,-2,1,-6,-1,-1,8,0,-2,2,0,-7
PUMA,2500506.0,49053,16657,20258,6696,5442,10531,12180,10354,15988,9438,20334,15623,3658,101587,49053,16648,20258,6699,5448,10527,12177,10355,15994,9437,20336,15628,3652,101596,0,-9,0,3,6,-4,-3,1,6,-1,2,5,-6,9
