process,pid,rss,full_rss,uss,event,children,time
MainProcess,12676,100_524_032,100_524_032,69_873_664,pipeline.run before preload_injectables,0,2022/06/22 11:16:37.864136
MainProcess,12676,100_872_192,100_872_192,69_955_584,pipeline.run after preload_injectables,0,2022/06/22 11:16:37.905803
MainProcess,12676,100_896_768,100_896_768,69_959_680,pipeline.run_model input_pre_processor start,0,2022/06/22 11:16:37.929792
MainProcess,12676,154_931_200,154_931_200,124_309_504,pipeline.run_model input_pre_processor finished,0,2022/06/22 11:16:38.767112
MainProcess,12676,167_456_768,167_456_768,136_605_696,pipeline.run after input_pre_processor,0,2022/06/22 11:16:39.235286
MainProcess,12676,167_976_960,167_976_960,136_605_696,pipeline.run_model setup_data_structures start,0,2022/06/22 11:16:39.268178
MainProcess,12676,171_388_928,171_388_928,140_496_896,pipeline.run_model setup_data_structures finished,0,2022/06/22 11:16:40.037301
MainProcess,12676,171_118_592,171_118_592,140_103_680,pipeline.run after setup_data_structures,0,2022/06/22 11:16:40.466445
MainProcess,12676,171_991_040,171_991_040,140_124_160,pipeline.run_model initial_seed_balancing start,0,2022/06/22 11:16:40.493500
MainProcess,12676,172_118_016,172_118_016,140_877_824,pipeline.run_model initial_seed_balancing finished,0,2022/06/22 11:17:01.688413
MainProcess,12676,173_457_408,173_457_408,141_729_792,pipeline.run after initial_seed_balancing,0,2022/06/22 11:17:01.764852
MainProcess,12676,173_649_920,173_649_920,141_729_792,pipeline.run_model meta_control_factoring start,0,2022/06/22 11:17:01.790308
MainProcess,12676,174_481_408,174_481_408,142_561_280,pipeline.run_model meta_control_factoring finished,0,2022/06/22 11:17:01.814600
MainProcess,12676,174_481_408,174_481_408,142_561_280,pipeline.run after meta_control_factoring,0,2022/06/22 11:17:01.883952
MainProcess,12676,174_481_408,174_481_408,142_561_280,pipeline.run_model final_seed_balancing start,0,2022/06/22 11:17:01.906389
MainProcess,12676,174_579_712,174_579_712,142_659_584,pipeline.run_model final_seed_balancing finished,0,2022/06/22 11:17:01.932148
MainProcess,12676,174_731_264,174_731_264,142_864_384,pipeline.run after final_seed_balancing,0,2022/06/22 11:17:01.998210
MainProcess,12676,174_784_512,174_784_512,142_864_384,pipeline.run_model integerize_final_seed_weights start,0,2022/06/22 11:17:02.020173
MainProcess,12676,177_352_704,177_352_704,143_740_928,pipeline.run_model integerize_final_seed_weights finished,0,2022/06/22 11:17:03.445836
MainProcess,12676,177_516_544,177_516_544,143_024_128,pipeline.run after integerize_final_seed_weights,0,2022/06/22 11:17:03.510023
MainProcess,12676,177_516_544,177_516_544,143_024_128,pipeline.run_model sub_balancing.geography=TAZ start,0,2022/06/22 11:17:03.530992
MainProcess,12676,170_123_264,170_123_264,126_943_232,pipeline.run_model sub_balancing.geography=TAZ finished,0,2022/06/22 12:15:24.687732
MainProcess,12676,173_555_712,173_555_712,129_380_352,pipeline.run after sub_balancing.geography=TAZ,0,2022/06/22 12:15:25.036325
MainProcess,12676,173_645_824,173_645_824,129_470_464,pipeline.run_model expand_households start,0,2022/06/22 12:15:25.075188
MainProcess,12676,272_711_680,272_711_680,230_461_440,pipeline.run_model expand_households finished,0,2022/06/22 12:18:47.005505
MainProcess,12676,273_727_488,273_727_488,230_514_688,pipeline.run after expand_households,0,2022/06/22 12:18:47.756381
MainProcess,12676,273_731_584,273_731_584,230_518_784,pipeline.run_model write_data_dictionary start,0,2022/06/22 12:18:47.881799
MainProcess,12676,336_900_096,336_900_096,293_535_744,pipeline.run_model write_data_dictionary finished,0,2022/06/22 12:18:50.099675
MainProcess,12676,336_924_672,336_924_672,293_560_320,pipeline.run after write_data_dictionary,0,2022/06/22 12:18:50.194417
MainProcess,12676,336_924_672,336_924_672,293_560_320,pipeline.run_model summarize start,0,2022/06/22 12:18:50.250000
MainProcess,12676,325_259_264,325_259_264,282_882_048,pipeline.run_model summarize finished,0,2022/06/22 12:19:33.399864
MainProcess,12676,330_203_136,330_203_136,286_855_168,pipeline.run after summarize,0,2022/06/22 12:19:33.691811
MainProcess,12676,330_223_616,330_223_616,286_855_168,pipeline.run_model write_tables start,0,2022/06/22 12:19:33.755784
MainProcess,12676,331_902_976,331_902_976,288_534_528,pipeline.run_model write_tables finished,0,2022/06/22 12:19:48.836192
MainProcess,12676,331_902_976,331_902_976,288_534_528,pipeline.run after write_tables,0,2022/06/22 12:19:48.927360
MainProcess,12676,331_902_976,331_902_976,288_534_528,pipeline.run_model write_synthetic_population start,0,2022/06/22 12:19:48.982112
MainProcess,12676,334_856_192,334_856_192,291_483_648,pipeline.run_model write_synthetic_population finished,0,2022/06/22 12:21:06.009037
MainProcess,12676,334_856_192,334_856_192,291_483_648,pipeline.run after write_synthetic_population,0,2022/06/22 12:21:06.105121
MainProcess,12676,334_856_192,334_856_192,291_483_648,pipeline.run after run_models,0,2022/06/22 12:21:06.163058
