process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,1.3,0.0
MainProcess,setup_data_structures,1.2,0.0
MainProcess,initial_seed_balancing,21.3,0.4
MainProcess,meta_control_factoring,0.1,0.0
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,1.5,0.0
MainProcess,sub_balancing.geography=TAZ,3501.5,58.4
MainProcess,expand_households,202.7,3.4
MainProcess,write_data_dictionary,2.4,0.0
MainProcess,summarize,43.5,0.7
MainProcess,write_tables,15.2,0.3
MainProcess,write_synthetic_population,77.2,1.3
